,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.25431 ± 0.003,0.25356 ± 0.005,0.13346 ± 0.002,0.16373 ± 0.003,0.19023 ± 0.004,0.27488 ± 0.006,0.13182 ± 0.005,0.14333 ± 0.021,0.18502 ± 0.013,0.15441 ± 0.005,0.18658 ± 0.002,0.27220 ± 0.003
Q1_Q3_0.5,0.23094 ± 0.001,0.23480 ± 0.004,0.14483 ± 0.002,0.17499 ± 0.002,0.18770 ± 0.004,0.25742 ± 0.003,0.13335 ± 0.004,0.18468 ± 0.009,0.17366 ± 0.006,0.15827 ± 0.006,0.22080 ± 0.001,0.25214 ± 0.003
Q1_Q4_0.5,0.28451 ± 0.001,0.24060 ± 0.007,0.22699 ± 0.002,0.23696 ± 0.002,0.24514 ± 0.002,0.30644 ± 0.002,0.20578 ± 0.012,0.27703 ± 0.008,0.24588 ± 0.002,0.24324 ± 0.002,0.31504 ± 0.004,0.30150 ± 0.002
Q2_Q3_0.5,0.09948 ± 0.002,0.13792 ± 0.003,0.09901 ± 0.003,0.10945 ± 0.001,0.13354 ± 0.007,0.12313 ± 0.003,0.11063 ± 0.002,0.13133 ± 0.006,0.10040 ± 0.002,0.10276 ± 0.005,0.17974 ± 0.005,0.14247 ± 0.002
Q2_Q4_0.5,0.27421 ± 0.004,0.22027 ± 0.007,0.15460 ± 0.002,0.18816 ± 0.001,0.21407 ± 0.003,0.28982 ± 0.005,0.13606 ± 0.006,0.28957 ± 0.015,0.21189 ± 0.006,0.22749 ± 0.002,0.27789 ± 0.005,0.29072 ± 0.004
Q3_Q4_0.5,0.30506 ± 0.003,0.27992 ± 0.003,0.15076 ± 0.003,0.20114 ± 0.004,0.22150 ± 0.004,0.32318 ± 0.004,0.14513 ± 0.003,0.29757 ± 0.020,0.22631 ± 0.007,0.26900 ± 0.010,0.27868 ± 0.007,0.32154 ± 0.002
Q1_0.5,0.29639 ± 0.002,0.24154 ± 0.004,0.11989 ± 0.002,0.17327 ± 0.002,0.21237 ± 0.002,0.31542 ± 0.004,0.12521 ± 0.005,0.16453 ± 0.005,0.19475 ± 0.016,0.16942 ± 0.011,0.20528 ± 0.004,0.31418 ± 0.003
Q2_0.5,0.08585 ± 0.002,0.10705 ± 0.004,0.08079 ± 0.003,0.08159 ± 0.003,0.10825 ± 0.004,0.11080 ± 0.004,0.07622 ± 0.009,0.10148 ± 0.009,0.08411 ± 0.003,0.08287 ± 0.004,0.14348 ± 0.004,0.13019 ± 0.002
Q3_0.5,0.11921 ± 0.002,0.13327 ± 0.002,0.09408 ± 0.002,0.10032 ± 0.002,0.11450 ± 0.011,0.13681 ± 0.005,0.09094 ± 0.006,0.15925 ± 0.017,0.09995 ± 0.005,0.10684 ± 0.009,0.20608 ± 0.006,0.15537 ± 0.005
Q4_0.5,0.37738 ± 0.003,0.26645 ± 0.004,0.16994 ± 0.002,0.24848 ± 0.002,0.28458 ± 0.002,0.39180 ± 0.006,0.15023 ± 0.006,0.39123 ± 0.045,0.28657 ± 0.004,0.30779 ± 0.009,0.35023 ± 0.009,0.38932 ± 0.006
Q1_Q2_0.75,0.30522 ± 0.002,0.33167 ± 0.003,0.20356 ± 0.013,0.23217 ± 0.009,0.25049 ± 0.010,0.33046 ± 0.004,0.23147 ± 0.017,0.17338 ± 0.028,0.27942 ± 0.002,0.26069 ± 0.008,0.18275 ± 0.002,0.32165 ± 0.002
Q1_Q3_0.75,0.27175 ± 0.001,0.29730 ± 0.007,0.19802 ± 0.005,0.20753 ± 0.005,0.22517 ± 0.005,0.30814 ± 0.003,0.19588 ± 0.005,0.19906 ± 0.024,0.25784 ± 0.009,0.23763 ± 0.009,0.22348 ± 0.002,0.28884 ± 0.002
Q1_Q4_0.75,0.28913 ± 0.001,0.28347 ± 0.002,0.25918 ± 0.002,0.28340 ± 0.002,0.25822 ± 0.001,0.30991 ± 0.002,0.25302 ± 0.003,0.29133 ± 0.004,0.27636 ± 0.003,0.27355 ± 0.005,0.31833 ± 0.002,0.30641 ± 0.002
Q2_Q3_0.75,0.10400 ± 0.002,0.16826 ± 0.003,0.12028 ± 0.001,0.13034 ± 0.001,0.16204 ± 0.007,0.13537 ± 0.005,0.11262 ± 0.005,0.14966 ± 0.016,0.11323 ± 0.008,0.11978 ± 0.007,0.18357 ± 0.003,0.14254 ± 0.003
Q2_Q4_0.75,0.29301 ± 0.003,0.28289 ± 0.002,0.18831 ± 0.002,0.21461 ± 0.003,0.23609 ± 0.003,0.32015 ± 0.004,0.19261 ± 0.005,0.30724 ± 0.019,0.25550 ± 0.006,0.27151 ± 0.009,0.27133 ± 0.004,0.30933 ± 0.003
Q3_Q4_0.75,0.35075 ± 0.001,0.35512 ± 0.002,0.24081 ± 0.008,0.24795 ± 0.005,0.27153 ± 0.008,0.37177 ± 0.002,0.26293 ± 0.002,0.35459 ± 0.014,0.33989 ± 0.010,0.35025 ± 0.006,0.27055 ± 0.004,0.36414 ± 0.002
Q1_0.75,0.34157 ± 0.002,0.34276 ± 0.001,0.15211 ± 0.006,0.22815 ± 0.005,0.27543 ± 0.010,0.37751 ± 0.003,0.17173 ± 0.009,0.22123 ± 0.030,0.31168 ± 0.007,0.28066 ± 0.006,0.20094 ± 0.002,0.35503 ± 0.003
Q2_0.75,0.09230 ± 0.003,0.14115 ± 0.002,0.09836 ± 0.002,0.09997 ± 0.002,0.12488 ± 0.003,0.12126 ± 0.002,0.10467 ± 0.005,0.09897 ± 0.026,0.10412 ± 0.010,0.09535 ± 0.007,0.14514 ± 0.003,0.13610 ± 0.002
Q3_0.75,0.12437 ± 0.002,0.17885 ± 0.008,0.09269 ± 0.003,0.11520 ± 0.002,0.14067 ± 0.006,0.14104 ± 0.005,0.11767 ± 0.004,0.16225 ± 0.023,0.10998 ± 0.005,0.11449 ± 0.006,0.20139 ± 0.005,0.16003 ± 0.003
Q4_0.75,0.39968 ± 0.004,0.34045 ± 0.005,0.19232 ± 0.006,0.27812 ± 0.005,0.31914 ± 0.004,0.42113 ± 0.003,0.19481 ± 0.006,0.37197 ± 0.015,0.32693 ± 0.008,0.35032 ± 0.008,0.33434 ± 0.008,0.41453 ± 0.004
Q1_Q2_1.0,0.38838 ± 0.002,0.42861 ± 0.003,0.39896 ± 0.005,0.39184 ± 0.015,0.41718 ± 0.012,0.41615 ± 0.004,0.40146 ± 0.003,0.33709 ± 0.017,0.38929 ± 0.008,0.37452 ± 0.009,0.18219 ± 0.002,0.39945 ± 0.002
Q1_Q3_1.0,0.37361 ± 0.002,0.41829 ± 0.005,0.38419 ± 0.001,0.37652 ± 0.005,0.40176 ± 0.006,0.42123 ± 0.003,0.39010 ± 0.004,0.31737 ± 0.026,0.38553 ± 0.003,0.37182 ± 0.009,0.22619 ± 0.002,0.38743 ± 0.003
Q1_Q4_1.0,0.30355 ± 0.002,0.30808 ± 0.002,0.30892 ± 0.001,0.30911 ± 0.002,0.30977 ± 0.004,0.31232 ± 0.002,0.30672 ± 0.002,0.31075 ± 0.006,0.30344 ± 0.004,0.30758 ± 0.005,0.32596 ± 0.002,0.32089 ± 0.001
Q2_Q3_1.0,0.11010 ± 0.002,0.21436 ± 0.003,0.13890 ± 0.002,0.16207 ± 0.007,0.24370 ± 0.005,0.14049 ± 0.002,0.14148 ± 0.008,0.18550 ± 0.031,0.13921 ± 0.007,0.13285 ± 0.004,0.18446 ± 0.003,0.14993 ± 0.002
Q2_Q4_1.0,0.32127 ± 0.003,0.32540 ± 0.005,0.29841 ± 0.003,0.29405 ± 0.016,0.29428 ± 0.006,0.34712 ± 0.002,0.28520 ± 0.005,0.33072 ± 0.020,0.30043 ± 0.005,0.31196 ± 0.004,0.26787 ± 0.003,0.33643 ± 0.003
Q3_Q4_1.0,0.41124 ± 0.002,0.41718 ± 0.007,0.62184 ± 0.338,0.41027 ± 0.005,0.40468 ± 0.002,0.41843 ± 0.003,0.40444 ± 0.003,0.43469 ± 0.016,0.40750 ± 0.002,0.40927 ± 0.005,0.25727 ± 0.003,0.42330 ± 0.002
Q1_1.0,0.40866 ± 0.002,0.52242 ± 0.003,0.43786 ± 0.005,0.42643 ± 0.006,0.41812 ± 0.020,0.45999 ± 0.003,0.40725 ± 0.007,0.36630 ± 0.012,0.42548 ± 0.010,0.39842 ± 0.010,0.19417 ± 0.002,0.42264 ± 0.003
Q2_1.0,0.10117 ± 0.003,0.17381 ± 0.003,0.12475 ± 0.004,0.12063 ± 0.003,0.14053 ± 0.004,0.12842 ± 0.003,0.13246 ± 0.008,0.10601 ± 0.014,0.11226 ± 0.007,0.09942 ± 0.006,0.14526 ± 0.003,0.14392 ± 0.003
Q3_1.0,0.13262 ± 0.002,0.22245 ± 0.008,0.09558 ± 0.004,0.12527 ± 0.003,0.16290 ± 0.009,0.15215 ± 0.002,0.15809 ± 0.005,0.16524 ± 0.020,0.11437 ± 0.005,0.13327 ± 0.005,0.20207 ± 0.005,0.16507 ± 0.002
Q4_1.0,0.42746 ± 0.003,0.46658 ± 0.006,0.37554 ± 0.003,0.34063 ± 0.005,0.37776 ± 0.003,0.45449 ± 0.003,0.37798 ± 0.011,0.46538 ± 0.027,0.39646 ± 0.006,0.41190 ± 0.006,0.31584 ± 0.006,0.43843 ± 0.004
