,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_0.5,0.84616 ± 0.012,0.85963 ± 0.018,0.84862 ± 0.014,0.84454 ± 0.025,0.85967 ± 0.019,0.84915 ± 0.022,0.85151 ± 0.021,0.83111 ± 0.029,0.82856 ± 0.018,0.85287 ± 0.011,0.80751 ± 0.047,0.85035 ± 0.007
Q2_0.5,0.84743 ± 0.022,0.86502 ± 0.013,0.87182 ± 0.019,0.86208 ± 0.013,0.86621 ± 0.012,0.85832 ± 0.018,0.87047 ± 0.019,0.84209 ± 0.010,0.84183 ± 0.013,0.84431 ± 0.022,0.84330 ± 0.082,0.84067 ± 0.010
Q3_0.5,0.85836 ± 0.018,0.86351 ± 0.025,0.84987 ± 0.013,0.85299 ± 0.021,0.86089 ± 0.018,0.84452 ± 0.025,0.85134 ± 0.018,0.83649 ± 0.028,0.83436 ± 0.026,0.83456 ± 0.025,0.84218 ± 0.026,0.86666 ± 0.014
Q4_0.5,0.83322 ± 0.011,0.88074 ± 0.010,0.87414 ± 0.023,0.84975 ± 0.014,0.86200 ± 0.008,0.85218 ± 0.015,0.86461 ± 0.026,0.82932 ± 0.012,0.82269 ± 0.025,0.81886 ± 0.019,0.85179 ± 0.035,0.84642 ± 0.016
Q1_Q2_0.75,0.84175 ± 0.022,0.83089 ± 0.021,0.81591 ± 0.028,0.78213 ± 0.025,0.82004 ± 0.017,0.83676 ± 0.014,0.82601 ± 0.008,0.82566 ± 0.019,0.82424 ± 0.018,0.82099 ± 0.016,0.90062 ± 0.087,0.84203 ± 0.010
Q1_Q3_0.75,0.82058 ± 0.027,0.83356 ± 0.032,0.82074 ± 0.021,0.80057 ± 0.022,0.83756 ± 0.030,0.82975 ± 0.026,0.79892 ± 0.027,0.82681 ± 0.017,0.80327 ± 0.024,0.79803 ± 0.016,0.79372 ± 0.032,0.81540 ± 0.011
Q1_Q4_0.75,0.82974 ± 0.019,0.85512 ± 0.014,0.83227 ± 0.022,0.76226 ± 0.008,0.83343 ± 0.023,0.83425 ± 0.025,0.82856 ± 0.028,0.79107 ± 0.015,0.77886 ± 0.004,0.76649 ± 0.009,0.80407 ± 0.031,0.84232 ± 0.018
Q2_Q3_0.75,0.85585 ± 0.015,0.85536 ± 0.020,0.84207 ± 0.009,0.82323 ± 0.003,0.81602 ± 0.036,0.84222 ± 0.013,0.82000 ± 0.024,0.86372 ± 0.033,0.80013 ± 0.018,0.80992 ± 0.013,0.84799 ± 0.042,0.85700 ± 0.026
Q2_Q4_0.75,0.86383 ± 0.016,0.88596 ± 0.019,0.84971 ± 0.022,0.79954 ± 0.023,0.83998 ± 0.019,0.85469 ± 0.008,0.84175 ± 0.017,0.80481 ± 0.023,0.81799 ± 0.016,0.81668 ± 0.026,0.83457 ± 0.032,0.84990 ± 0.017
Q3_Q4_0.75,0.82263 ± 0.019,0.84118 ± 0.014,0.79834 ± 0.006,0.78574 ± 0.038,0.80827 ± 0.028,0.80328 ± 0.017,0.80153 ± 0.014,0.74039 ± 0.032,0.76939 ± 0.026,0.75296 ± 0.039,0.81675 ± 0.033,0.82509 ± 0.019
Q1_0.75,0.84334 ± 0.015,0.86804 ± 0.020,0.85971 ± 0.012,0.84348 ± 0.010,0.85977 ± 0.014,0.85037 ± 0.014,0.84884 ± 0.022,0.81366 ± 0.020,0.84458 ± 0.005,0.84170 ± 0.014,0.82231 ± 0.027,0.85229 ± 0.011
Q2_0.75,0.85852 ± 0.017,0.87997 ± 0.015,0.85167 ± 0.009,0.82447 ± 0.012,0.85401 ± 0.006,0.86255 ± 0.009,0.85300 ± 0.013,0.84489 ± 0.024,0.84487 ± 0.026,0.84599 ± 0.007,0.82506 ± 0.020,0.86943 ± 0.021
Q3_0.75,0.85826 ± 0.018,0.85263 ± 0.012,0.86753 ± 0.013,0.85939 ± 0.017,0.84997 ± 0.015,0.84725 ± 0.017,0.85406 ± 0.021,0.83817 ± 0.026,0.83027 ± 0.012,0.81602 ± 0.022,0.87066 ± 0.065,0.85550 ± 0.019
Q4_0.75,0.86528 ± 0.010,0.86857 ± 0.017,0.85029 ± 0.011,0.82445 ± 0.007,0.85106 ± 0.013,0.87373 ± 0.004,0.83903 ± 0.008,0.82049 ± 0.033,0.80405 ± 0.022,0.79686 ± 0.030,0.82271 ± 0.027,0.85582 ± 0.013
Q1_Q2_1.0,0.69463 ± 0.041,0.72234 ± 0.025,0.70318 ± 0.015,0.66729 ± 0.035,0.79094 ± 0.029,0.72098 ± 0.028,0.72769 ± 0.032,0.80891 ± 0.015,0.68817 ± 0.021,0.70653 ± 0.032,0.87946 ± 0.065,0.74824 ± 0.030
Q1_Q3_1.0,0.84010 ± 0.009,0.81565 ± 0.026,0.77842 ± 0.012,0.73382 ± 0.036,0.80838 ± 0.009,0.82014 ± 0.009,0.74754 ± 0.022,0.79014 ± 0.038,0.76692 ± 0.014,0.77033 ± 0.021,0.83908 ± 0.084,0.85120 ± 0.018
Q1_Q4_1.0,0.74668 ± 0.016,0.77387 ± 0.014,0.74826 ± 0.026,0.66515 ± 0.028,0.73488 ± 0.023,0.77639 ± 0.006,0.72169 ± 0.023,0.74033 ± 0.043,0.68049 ± 0.016,0.68833 ± 0.037,0.82110 ± 0.026,0.77678 ± 0.026
Q2_Q3_1.0,0.83822 ± 0.016,0.83091 ± 0.019,0.81127 ± 0.012,0.80277 ± 0.022,0.80576 ± 0.020,0.81657 ± 0.011,0.79228 ± 0.020,0.83990 ± 0.019,0.78761 ± 0.010,0.78262 ± 0.014,0.83045 ± 0.016,0.85436 ± 0.012
Q2_Q4_1.0,0.81472 ± 0.031,0.81570 ± 0.005,0.81110 ± 0.036,0.78887 ± 0.009,0.82731 ± 0.028,0.80382 ± 0.021,0.81353 ± 0.022,0.77180 ± 0.032,0.76139 ± 0.022,0.76803 ± 0.027,0.81345 ± 0.040,0.80783 ± 0.026
Q3_Q4_1.0,0.74597 ± 0.016,0.74308 ± 0.018,0.72159 ± 0.017,0.72686 ± 0.020,0.75222 ± 0.015,0.74874 ± 0.011,0.72928 ± 0.015,0.74226 ± 0.039,0.66738 ± 0.038,0.65719 ± 0.022,0.88309 ± 0.059,0.75515 ± 0.042
Q1_1.0,0.83426 ± 0.010,0.85372 ± 0.017,0.83451 ± 0.015,0.65188 ± 0.148,0.83782 ± 0.025,0.84297 ± 0.013,0.83103 ± 0.027,0.81677 ± 0.027,0.79773 ± 0.019,0.81455 ± 0.008,0.82187 ± 0.028,0.83149 ± 0.028
Q2_1.0,0.85006 ± 0.014,0.86084 ± 0.013,0.83495 ± 0.005,0.82577 ± 0.011,0.84743 ± 0.020,0.85311 ± 0.014,0.83122 ± 0.005,0.85062 ± 0.027,0.85302 ± 0.025,0.83943 ± 0.008,0.83019 ± 0.039,0.85118 ± 0.009
Q3_1.0,0.85687 ± 0.021,0.84207 ± 0.022,0.84069 ± 0.007,0.84360 ± 0.023,0.84329 ± 0.019,0.83137 ± 0.012,0.81370 ± 0.018,0.80804 ± 0.017,0.80445 ± 0.010,0.81345 ± 0.022,0.80611 ± 0.023,0.85561 ± 0.019
Q4_1.0,0.82647 ± 0.027,0.82024 ± 0.007,0.83838 ± 0.016,0.79709 ± 0.020,0.84322 ± 0.014,0.82053 ± 0.025,0.82308 ± 0.012,0.78104 ± 0.031,0.75045 ± 0.039,0.75121 ± 0.020,0.85230 ± 0.024,0.83748 ± 0.022
