,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.75646 ± 0.004,0.69866 ± 0.004,0.72976 ± 0.004,0.72855 ± 0.006,0.71470 ± 0.003,0.71084 ± 0.002,0.71735 ± 0.005,0.73403 ± 0.005,0.70995 ± 0.004,0.73297 ± 0.006,0.78148 ± 0.008,0.77971 ± 0.013,0.78519 ± 0.006,0.75011 ± 0.005
Q1_Q3_0.5,0.75570 ± 0.006,0.70949 ± 0.003,0.73175 ± 0.004,0.72277 ± 0.005,0.71841 ± 0.004,0.71470 ± 0.004,0.72650 ± 0.005,0.73208 ± 0.005,0.71363 ± 0.004,0.74385 ± 0.005,0.77724 ± 0.005,0.77294 ± 0.009,0.79008 ± 0.004,0.74614 ± 0.005
Q1_Q4_0.5,0.77234 ± 0.006,0.74906 ± 0.005,0.77521 ± 0.005,0.75727 ± 0.006,0.74580 ± 0.005,0.75056 ± 0.004,0.75211 ± 0.005,0.76917 ± 0.006,0.73802 ± 0.003,0.78069 ± 0.006,0.79366 ± 0.011,0.79603 ± 0.019,0.79386 ± 0.006,0.78464 ± 0.006
Q2_Q3_0.5,0.72250 ± 0.005,0.71301 ± 0.005,0.68891 ± 0.003,0.70382 ± 0.003,0.69836 ± 0.003,0.69974 ± 0.005,0.70040 ± 0.004,0.70034 ± 0.003,0.70013 ± 0.004,0.71517 ± 0.005,0.76190 ± 0.008,0.75484 ± 0.016,0.78941 ± 0.006,0.71951 ± 0.003
Q2_Q4_0.5,0.74263 ± 0.007,0.75442 ± 0.003,0.71700 ± 0.004,0.72054 ± 0.004,0.71540 ± 0.002,0.71355 ± 0.002,0.71426 ± 0.002,0.72171 ± 0.005,0.70945 ± 0.004,0.73607 ± 0.008,0.76473 ± 0.011,0.76862 ± 0.008,0.79266 ± 0.005,0.75641 ± 0.005
Q3_Q4_0.5,0.72680 ± 0.006,0.74327 ± 0.004,0.72011 ± 0.006,0.72528 ± 0.006,0.70997 ± 0.004,0.71096 ± 0.004,0.71429 ± 0.006,0.72367 ± 0.005,0.70634 ± 0.003,0.74366 ± 0.014,0.76569 ± 0.006,0.77439 ± 0.004,0.78341 ± 0.006,0.75938 ± 0.004
Q1_0.5,0.73278 ± 0.005,0.68640 ± 0.004,0.72445 ± 0.004,0.70861 ± 0.004,0.71005 ± 0.003,0.70191 ± 0.004,0.71364 ± 0.003,0.72298 ± 0.004,0.70342 ± 0.004,0.73072 ± 0.008,0.76982 ± 0.008,0.76587 ± 0.011,0.78656 ± 0.006,0.72891 ± 0.005
Q2_0.5,0.71175 ± 0.005,0.70331 ± 0.003,0.68739 ± 0.004,0.69105 ± 0.004,0.69076 ± 0.003,0.68897 ± 0.003,0.68929 ± 0.003,0.69183 ± 0.004,0.69053 ± 0.003,0.70793 ± 0.006,0.74099 ± 0.012,0.73818 ± 0.008,0.79010 ± 0.005,0.70723 ± 0.004
Q3_0.5,0.69964 ± 0.004,0.70757 ± 0.003,0.68431 ± 0.003,0.69387 ± 0.003,0.68489 ± 0.003,0.68876 ± 0.005,0.69077 ± 0.003,0.68915 ± 0.003,0.68877 ± 0.004,0.71037 ± 0.006,0.73971 ± 0.006,0.73903 ± 0.005,0.79180 ± 0.005,0.70275 ± 0.004
Q4_0.5,0.70868 ± 0.007,0.72228 ± 0.004,0.71454 ± 0.005,0.70519 ± 0.004,0.69969 ± 0.004,0.69650 ± 0.003,0.70389 ± 0.004,0.71287 ± 0.005,0.69565 ± 0.003,0.73636 ± 0.010,0.75595 ± 0.010,0.76468 ± 0.007,0.79074 ± 0.002,0.73691 ± 0.005
Q1_Q2_0.75,0.76491 ± 0.002,0.69893 ± 0.003,0.76403 ± 0.005,0.79393 ± 0.006,0.74698 ± 0.004,0.73944 ± 0.005,0.74471 ± 0.007,0.77131 ± 0.006,0.73585 ± 0.003,0.75235 ± 0.006,0.82383 ± 0.013,0.80171 ± 0.006,0.77741 ± 0.006,0.79195 ± 0.004
Q1_Q3_0.75,0.76848 ± 0.010,0.71057 ± 0.004,0.74769 ± 0.004,0.77037 ± 0.005,0.74183 ± 0.004,0.74384 ± 0.004,0.74248 ± 0.004,0.75356 ± 0.004,0.74234 ± 0.006,0.76044 ± 0.008,0.80536 ± 0.008,0.79105 ± 0.015,0.78437 ± 0.007,0.76756 ± 0.005
Q1_Q4_0.75,0.78768 ± 0.007,0.76379 ± 0.005,0.81802 ± 0.005,0.82249 ± 0.006,0.79110 ± 0.004,0.79868 ± 0.007,0.79542 ± 0.006,0.81432 ± 0.005,0.78357 ± 0.010,0.82166 ± 0.004,0.84154 ± 0.005,0.84140 ± 0.008,0.79004 ± 0.004,0.81874 ± 0.006
Q2_Q3_0.75,0.72504 ± 0.008,0.71579 ± 0.005,0.68825 ± 0.004,0.73462 ± 0.006,0.70020 ± 0.005,0.72202 ± 0.002,0.71228 ± 0.006,0.70801 ± 0.003,0.71553 ± 0.003,0.71353 ± 0.007,0.75544 ± 0.013,0.75740 ± 0.014,0.78233 ± 0.004,0.72669 ± 0.006
Q2_Q4_0.75,0.75535 ± 0.006,0.77936 ± 0.004,0.73837 ± 0.007,0.76592 ± 0.005,0.74020 ± 0.006,0.74395 ± 0.005,0.73714 ± 0.008,0.74810 ± 0.006,0.73414 ± 0.007,0.75499 ± 0.010,0.79512 ± 0.025,0.79413 ± 0.005,0.78916 ± 0.002,0.79417 ± 0.004
Q3_Q4_0.75,0.74073 ± 0.007,0.75470 ± 0.006,0.75120 ± 0.007,0.76241 ± 0.008,0.73694 ± 0.006,0.73873 ± 0.006,0.74108 ± 0.006,0.75320 ± 0.007,0.73540 ± 0.005,0.76007 ± 0.005,0.78320 ± 0.005,0.80091 ± 0.012,0.77175 ± 0.006,0.78982 ± 0.006
Q1_0.75,0.74168 ± 0.004,0.68293 ± 0.003,0.74514 ± 0.004,0.74385 ± 0.004,0.72797 ± 0.004,0.71688 ± 0.006,0.72992 ± 0.003,0.74341 ± 0.005,0.71890 ± 0.004,0.74332 ± 0.010,0.78701 ± 0.008,0.78252 ± 0.012,0.78061 ± 0.007,0.75135 ± 0.004
Q2_0.75,0.71783 ± 0.007,0.70069 ± 0.004,0.68967 ± 0.004,0.69967 ± 0.005,0.69297 ± 0.004,0.69283 ± 0.004,0.69488 ± 0.005,0.69612 ± 0.005,0.69233 ± 0.004,0.71098 ± 0.007,0.75463 ± 0.011,0.74536 ± 0.007,0.78949 ± 0.006,0.71106 ± 0.003
Q3_0.75,0.70368 ± 0.003,0.70698 ± 0.004,0.68515 ± 0.003,0.70243 ± 0.006,0.68809 ± 0.002,0.69274 ± 0.004,0.69574 ± 0.003,0.69426 ± 0.005,0.69058 ± 0.002,0.71345 ± 0.006,0.74411 ± 0.007,0.73926 ± 0.007,0.78526 ± 0.006,0.70920 ± 0.003
Q4_0.75,0.71633 ± 0.003,0.73026 ± 0.005,0.73401 ± 0.006,0.73575 ± 0.006,0.72294 ± 0.005,0.71806 ± 0.005,0.72114 ± 0.006,0.73037 ± 0.007,0.71659 ± 0.004,0.74334 ± 0.008,0.77366 ± 0.015,0.77448 ± 0.011,0.78220 ± 0.003,0.76502 ± 0.008
Q1_Q2_1.0,0.76623 ± 0.002,0.69555 ± 0.004,0.79862 ± 0.004,0.84605 ± 0.007,0.81728 ± 0.006,0.83392 ± 0.003,0.80585 ± 0.012,0.80264 ± 0.007,0.82941 ± 0.016,0.78182 ± 0.010,0.86153 ± 0.007,0.85429 ± 0.003,0.75848 ± 0.008,0.83870 ± 0.005
Q1_Q3_1.0,0.77078 ± 0.007,0.70782 ± 0.004,0.76009 ± 0.004,0.79771 ± 0.006,0.76729 ± 0.008,0.78397 ± 0.005,0.76654 ± 0.012,0.76914 ± 0.007,0.78005 ± 0.005,0.76426 ± 0.006,0.82333 ± 0.006,0.82106 ± 0.010,0.77815 ± 0.006,0.79128 ± 0.007
Q1_Q4_1.0,0.78411 ± 0.005,0.77410 ± 0.005,0.86712 ± 0.006,0.87678 ± 0.005,0.85479 ± 0.005,0.86617 ± 0.008,0.86928 ± 0.007,0.86718 ± 0.006,0.86125 ± 0.007,0.86430 ± 0.010,0.87870 ± 0.007,0.87595 ± 0.006,0.78679 ± 0.006,0.85356 ± 0.007
Q2_Q3_1.0,0.72775 ± 0.006,0.70959 ± 0.004,0.69282 ± 0.003,0.76204 ± 0.005,0.70743 ± 0.003,0.75225 ± 0.008,0.73788 ± 0.005,0.71713 ± 0.005,0.75491 ± 0.001,0.72855 ± 0.008,0.77259 ± 0.008,0.78162 ± 0.006,0.77285 ± 0.004,0.73525 ± 0.003
Q2_Q4_1.0,0.76279 ± 0.009,0.77917 ± 0.007,0.74753 ± 0.006,0.79372 ± 0.003,0.76013 ± 0.005,0.77508 ± 0.006,0.76103 ± 0.006,0.76526 ± 0.007,0.78083 ± 0.009,0.77124 ± 0.012,0.80488 ± 0.007,0.81163 ± 0.017,0.77762 ± 0.004,0.81541 ± 0.007
Q3_Q4_1.0,0.74424 ± 0.006,0.74207 ± 0.003,0.79441 ± 0.007,0.82378 ± 0.005,0.81094 ± 0.008,0.80894 ± 0.007,0.76698 ± 0.004,0.78780 ± 0.007,0.80814 ± 0.009,0.81049 ± 0.010,0.83635 ± 0.008,0.83771 ± 0.011,0.75502 ± 0.006,0.82098 ± 0.005
Q1_1.0,0.74007 ± 0.004,0.67684 ± 0.004,0.75679 ± 0.005,0.79578 ± 0.007,0.74393 ± 0.005,0.74994 ± 0.004,0.74969 ± 0.005,0.75692 ± 0.005,0.74655 ± 0.004,0.75555 ± 0.007,0.81187 ± 0.012,0.79263 ± 0.006,0.76714 ± 0.007,0.77136 ± 0.004
Q2_1.0,0.72274 ± 0.007,0.69362 ± 0.004,0.69066 ± 0.004,0.71260 ± 0.006,0.69907 ± 0.003,0.70095 ± 0.005,0.69962 ± 0.005,0.69905 ± 0.004,0.70286 ± 0.002,0.71136 ± 0.006,0.75736 ± 0.008,0.75212 ± 0.014,0.78531 ± 0.006,0.72180 ± 0.003
Q3_1.0,0.70972 ± 0.003,0.70137 ± 0.004,0.68597 ± 0.003,0.71279 ± 0.004,0.68872 ± 0.003,0.70167 ± 0.002,0.70218 ± 0.004,0.69514 ± 0.005,0.69765 ± 0.005,0.71304 ± 0.008,0.74362 ± 0.005,0.75061 ± 0.015,0.78535 ± 0.005,0.71540 ± 0.003
Q4_1.0,0.72431 ± 0.004,0.71656 ± 0.005,0.74388 ± 0.006,0.77524 ± 0.005,0.73608 ± 0.006,0.73446 ± 0.007,0.72985 ± 0.005,0.73820 ± 0.006,0.73213 ± 0.004,0.75456 ± 0.010,0.78703 ± 0.014,0.78911 ± 0.019,0.77383 ± 0.003,0.78749 ± 0.005
