,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.79265 ± 0.013,0.80605 ± 0.007,0.81096 ± 0.011,0.80276 ± 0.012,0.80819 ± 0.011,0.79988 ± 0.011,0.81257 ± 0.009,0.75677 ± 0.003,0.78019 ± 0.007,0.78830 ± 0.012,0.59769 ± 0.025,0.77723 ± 0.016
Q1_Q3_0.5,0.79941 ± 0.012,0.80453 ± 0.009,0.80827 ± 0.009,0.79261 ± 0.009,0.81802 ± 0.010,0.80159 ± 0.010,0.81762 ± 0.004,0.75071 ± 0.009,0.77922 ± 0.008,0.77781 ± 0.013,0.57528 ± 0.009,0.78437 ± 0.011
Q1_Q4_0.5,0.74487 ± 0.007,0.78936 ± 0.010,0.79022 ± 0.009,0.78154 ± 0.010,0.77848 ± 0.003,0.75802 ± 0.012,0.80618 ± 0.008,0.72662 ± 0.012,0.74254 ± 0.007,0.73672 ± 0.008,0.57313 ± 0.012,0.73342 ± 0.018
Q2_Q3_0.5,0.80664 ± 0.004,0.80736 ± 0.006,0.80319 ± 0.008,0.80406 ± 0.009,0.80865 ± 0.007,0.80324 ± 0.006,0.80940 ± 0.008,0.76804 ± 0.009,0.76208 ± 0.013,0.77150 ± 0.014,0.61045 ± 0.013,0.81012 ± 0.008
Q2_Q4_0.5,0.74764 ± 0.011,0.79699 ± 0.007,0.79446 ± 0.009,0.78902 ± 0.009,0.78229 ± 0.009,0.75259 ± 0.010,0.74764 ± 0.011,0.72483 ± 0.008,0.72222 ± 0.009,0.72758 ± 0.018,0.60867 ± 0.026,0.74717 ± 0.012
Q3_Q4_0.5,0.75971 ± 0.008,0.79720 ± 0.007,0.79337 ± 0.004,0.79621 ± 0.004,0.79068 ± 0.004,0.76368 ± 0.004,0.78237 ± 0.024,0.67108 ± 0.027,0.72169 ± 0.010,0.71986 ± 0.016,0.63153 ± 0.018,0.75013 ± 0.011
Q1_0.5,0.82148 ± 0.008,0.81764 ± 0.008,0.81668 ± 0.008,0.81575 ± 0.004,0.81496 ± 0.006,0.80956 ± 0.008,0.81814 ± 0.010,0.75598 ± 0.015,0.79017 ± 0.009,0.78922 ± 0.014,0.56629 ± 0.013,0.79064 ± 0.014
Q2_0.5,0.80661 ± 0.008,0.81000 ± 0.009,0.81084 ± 0.008,0.80822 ± 0.010,0.81293 ± 0.011,0.80692 ± 0.006,0.81238 ± 0.011,0.76538 ± 0.015,0.77872 ± 0.012,0.77177 ± 0.011,0.62142 ± 0.024,0.80904 ± 0.009
Q3_0.5,0.81684 ± 0.009,0.81141 ± 0.004,0.80872 ± 0.008,0.81107 ± 0.007,0.81220 ± 0.005,0.81315 ± 0.008,0.81031 ± 0.010,0.76729 ± 0.011,0.76915 ± 0.015,0.76930 ± 0.018,0.64367 ± 0.013,0.81226 ± 0.008
Q4_0.5,0.75566 ± 0.008,0.79429 ± 0.002,0.80936 ± 0.006,0.80388 ± 0.005,0.79046 ± 0.007,0.76454 ± 0.008,0.75566 ± 0.008,0.71781 ± 0.011,0.73289 ± 0.011,0.72502 ± 0.007,0.62536 ± 0.015,0.75686 ± 0.012
Q1_Q2_0.75,0.74265 ± 0.004,0.78342 ± 0.009,0.77611 ± 0.009,0.75836 ± 0.013,0.81227 ± 0.012,0.77974 ± 0.004,0.82005 ± 0.009,0.72949 ± 0.006,0.76465 ± 0.017,0.77010 ± 0.012,0.62441 ± 0.021,0.71183 ± 0.013
Q1_Q3_0.75,0.76484 ± 0.017,0.77223 ± 0.007,0.79174 ± 0.008,0.75743 ± 0.013,0.80464 ± 0.008,0.78646 ± 0.011,0.81029 ± 0.007,0.74009 ± 0.019,0.77821 ± 0.007,0.76867 ± 0.016,0.60412 ± 0.011,0.72191 ± 0.016
Q1_Q4_0.75,0.65141 ± 0.008,0.69954 ± 0.008,0.72440 ± 0.007,0.68012 ± 0.016,0.74889 ± 0.016,0.68523 ± 0.007,0.74419 ± 0.008,0.68520 ± 0.010,0.69807 ± 0.016,0.69368 ± 0.013,0.57943 ± 0.007,0.63353 ± 0.019
Q2_Q3_0.75,0.80648 ± 0.004,0.81191 ± 0.010,0.80138 ± 0.008,0.79337 ± 0.007,0.79941 ± 0.008,0.80792 ± 0.008,0.80397 ± 0.006,0.77285 ± 0.008,0.77237 ± 0.008,0.77392 ± 0.021,0.61665 ± 0.015,0.80504 ± 0.009
Q2_Q4_0.75,0.71035 ± 0.007,0.75375 ± 0.008,0.75247 ± 0.014,0.76923 ± 0.012,0.75996 ± 0.012,0.70643 ± 0.005,0.72798 ± 0.026,0.60549 ± 0.022,0.70046 ± 0.014,0.69890 ± 0.016,0.59494 ± 0.013,0.70612 ± 0.015
Q3_Q4_0.75,0.68997 ± 0.010,0.75984 ± 0.006,0.74723 ± 0.008,0.73342 ± 0.006,0.78085 ± 0.012,0.70538 ± 0.006,0.72011 ± 0.040,0.53481 ± 0.049,0.69793 ± 0.018,0.67205 ± 0.011,0.64925 ± 0.006,0.68310 ± 0.014
Q1_0.75,0.76205 ± 0.010,0.81385 ± 0.008,0.79608 ± 0.010,0.78110 ± 0.005,0.82507 ± 0.009,0.79316 ± 0.010,0.81751 ± 0.006,0.74640 ± 0.018,0.78818 ± 0.015,0.79283 ± 0.008,0.60599 ± 0.013,0.75207 ± 0.015
Q2_0.75,0.81422 ± 0.006,0.80789 ± 0.010,0.81045 ± 0.006,0.80812 ± 0.007,0.80486 ± 0.011,0.80867 ± 0.008,0.80961 ± 0.007,0.77473 ± 0.012,0.77056 ± 0.008,0.76980 ± 0.014,0.61560 ± 0.032,0.80442 ± 0.011
Q3_0.75,0.81307 ± 0.004,0.81735 ± 0.008,0.81298 ± 0.008,0.81572 ± 0.007,0.81633 ± 0.004,0.81698 ± 0.006,0.81699 ± 0.011,0.76710 ± 0.008,0.76589 ± 0.017,0.76914 ± 0.015,0.63570 ± 0.005,0.80601 ± 0.007
Q4_0.75,0.73403 ± 0.005,0.78426 ± 0.008,0.78821 ± 0.009,0.78227 ± 0.005,0.77460 ± 0.007,0.73421 ± 0.004,0.77200 ± 0.030,0.56783 ± 0.031,0.70550 ± 0.004,0.68259 ± 0.013,0.62705 ± 0.012,0.72906 ± 0.006
Q1_Q2_1.0,0.52568 ± 0.014,0.59917 ± 0.027,0.64552 ± 0.034,0.62409 ± 0.018,0.67162 ± 0.033,0.55574 ± 0.020,0.61277 ± 0.019,0.65412 ± 0.045,0.58859 ± 0.030,0.53728 ± 0.037,0.62246 ± 0.009,0.54498 ± 0.018
Q1_Q3_1.0,0.64578 ± 0.011,0.66507 ± 0.011,0.70303 ± 0.029,0.65358 ± 0.064,0.72569 ± 0.012,0.65046 ± 0.011,0.73937 ± 0.010,0.66417 ± 0.019,0.66888 ± 0.017,0.65967 ± 0.019,0.58695 ± 0.011,0.64716 ± 0.019
Q1_Q4_1.0,0.39723 ± 0.002,0.39806 ± 0.002,0.51000 ± 0.036,0.47547 ± 0.026,0.57084 ± 0.035,0.47454 ± 0.018,0.50897 ± 0.044,0.39723 ± 0.002,0.53230 ± 0.049,0.42850 ± 0.022,0.55305 ± 0.010,0.45033 ± 0.020
Q2_Q3_1.0,0.80684 ± 0.006,0.81278 ± 0.006,0.80628 ± 0.005,0.79741 ± 0.007,0.78477 ± 0.010,0.81350 ± 0.005,0.79185 ± 0.006,0.76086 ± 0.021,0.76700 ± 0.014,0.75777 ± 0.019,0.61766 ± 0.016,0.80719 ± 0.009
Q2_Q4_1.0,0.65870 ± 0.012,0.69236 ± 0.009,0.71658 ± 0.011,0.70584 ± 0.011,0.73333 ± 0.016,0.64841 ± 0.010,0.70312 ± 0.014,0.63566 ± 0.018,0.66797 ± 0.018,0.67720 ± 0.022,0.59026 ± 0.007,0.64422 ± 0.011
Q3_Q4_1.0,0.48934 ± 0.021,0.55416 ± 0.008,0.55652 ± 0.018,0.61635 ± 0.014,0.58915 ± 0.016,0.49517 ± 0.020,0.57954 ± 0.010,0.50418 ± 0.053,0.46046 ± 0.041,0.44343 ± 0.023,0.63890 ± 0.010,0.49761 ± 0.011
Q1_1.0,0.68037 ± 0.007,0.72377 ± 0.022,0.73569 ± 0.023,0.69433 ± 0.042,0.77142 ± 0.010,0.72278 ± 0.005,0.79061 ± 0.006,0.69829 ± 0.037,0.74063 ± 0.028,0.74304 ± 0.009,0.60704 ± 0.022,0.66569 ± 0.022
Q2_1.0,0.81177 ± 0.006,0.81712 ± 0.009,0.81273 ± 0.006,0.80545 ± 0.006,0.80119 ± 0.011,0.81101 ± 0.005,0.81084 ± 0.006,0.78626 ± 0.016,0.77881 ± 0.012,0.77362 ± 0.008,0.63080 ± 0.031,0.80401 ± 0.011
Q3_1.0,0.81135 ± 0.005,0.80611 ± 0.010,0.80932 ± 0.006,0.81000 ± 0.005,0.80485 ± 0.006,0.80582 ± 0.005,0.81890 ± 0.007,0.74976 ± 0.016,0.76128 ± 0.006,0.77085 ± 0.014,0.63437 ± 0.010,0.80657 ± 0.006
Q4_1.0,0.67246 ± 0.010,0.71902 ± 0.003,0.72178 ± 0.012,0.72280 ± 0.004,0.73238 ± 0.003,0.67101 ± 0.008,0.73468 ± 0.032,0.51030 ± 0.066,0.66060 ± 0.023,0.65628 ± 0.021,0.62716 ± 0.008,0.65898 ± 0.012
