,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.10436 ± 0.001,0.07753 ± 0.002,0.07756 ± 0.003,0.12793 ± 0.005,0.07281 ± 0.003,0.09890 ± 0.001,0.06258 ± 0.004,0.12004 ± 0.011,0.05257 ± 0.002,0.05181 ± 0.003,0.08843 ± 0.001,0.14403 ± 0.002
Q1_Q3_0.5,0.09866 ± 0.001,0.07514 ± 0.002,0.08115 ± 0.002,0.12537 ± 0.004,0.07406 ± 0.002,0.09420 ± 0.001,0.06425 ± 0.002,0.10233 ± 0.004,0.05539 ± 0.002,0.05232 ± 0.001,0.08968 ± 0.001,0.14027 ± 0.001
Q1_Q4_0.5,0.15113 ± 0.002,0.11709 ± 0.002,0.11130 ± 0.001,0.14262 ± 0.007,0.11218 ± 0.002,0.14258 ± 0.002,0.09065 ± 0.002,0.15267 ± 0.005,0.12735 ± 0.002,0.12828 ± 0.002,0.16077 ± 0.002,0.18120 ± 0.002
Q2_Q3_0.5,0.04479 ± 0.000,0.05537 ± 0.001,0.05870 ± 0.006,0.06245 ± 0.009,0.06017 ± 0.001,0.05676 ± 0.001,0.04075 ± 0.002,0.09202 ± 0.009,0.05127 ± 0.004,0.04835 ± 0.003,0.08456 ± 0.001,0.10862 ± 0.001
Q2_Q4_0.5,0.20521 ± 0.004,0.13298 ± 0.002,0.12858 ± 0.008,0.43581 ± 0.383,0.12669 ± 0.003,0.18605 ± 0.004,0.20521 ± 0.004,0.21690 ± 0.008,0.18378 ± 0.003,0.18573 ± 0.004,0.21938 ± 0.004,0.22934 ± 0.003
Q3_Q4_0.5,0.21860 ± 0.003,0.14178 ± 0.003,0.13557 ± 0.006,0.30651 ± 0.270,0.12524 ± 0.001,0.19749 ± 0.003,0.17955 ± 0.050,0.24925 ± 0.017,0.19610 ± 0.005,0.20060 ± 0.003,0.22821 ± 0.003,0.23920 ± 0.003
Q1_0.5,0.10991 ± 0.001,0.08686 ± 0.001,0.08854 ± 0.001,0.13131 ± 0.005,0.07781 ± 0.001,0.10275 ± 0.000,0.06324 ± 0.004,0.12132 ± 0.012,0.05459 ± 0.003,0.05448 ± 0.003,0.08937 ± 0.001,0.14967 ± 0.002
Q2_0.5,0.04388 ± 0.001,0.05103 ± 0.001,0.04010 ± 0.001,0.04287 ± 0.001,0.05506 ± 0.001,0.05118 ± 0.001,0.03258 ± 0.001,0.08043 ± 0.008,0.04234 ± 0.002,0.04312 ± 0.002,0.07632 ± 0.001,0.10975 ± 0.002
Q3_0.5,0.04868 ± 0.001,0.05722 ± 0.001,0.06688 ± 0.013,0.07873 ± 0.017,0.06274 ± 0.001,0.05713 ± 0.001,0.04229 ± 0.001,0.09095 ± 0.004,0.05149 ± 0.003,0.05184 ± 0.002,0.09367 ± 0.002,0.11187 ± 0.002
Q4_0.5,0.28669 ± 0.001,0.17774 ± 0.002,0.15998 ± 0.004,0.19369 ± 0.048,0.16880 ± 0.003,0.25784 ± 0.002,0.28669 ± 0.001,0.28865 ± 0.004,0.25362 ± 0.004,0.26053 ± 0.002,0.29762 ± 0.002,0.30396 ± 0.001
Q1_Q2_0.75,0.13712 ± 0.002,0.11486 ± 0.002,0.10410 ± 0.002,0.15369 ± 0.004,0.09611 ± 0.005,0.13387 ± 0.003,0.09503 ± 0.005,0.20363 ± 0.025,0.09825 ± 0.006,0.08786 ± 0.004,0.09251 ± 0.001,0.16933 ± 0.002
Q1_Q3_0.75,0.12909 ± 0.001,0.11009 ± 0.002,0.10521 ± 0.003,0.15940 ± 0.006,0.09443 ± 0.005,0.12583 ± 0.001,0.10216 ± 0.003,0.18443 ± 0.010,0.09784 ± 0.004,0.08682 ± 0.004,0.09314 ± 0.001,0.16375 ± 0.001
Q1_Q4_0.75,0.15045 ± 0.002,0.14855 ± 0.002,0.13082 ± 0.002,0.17857 ± 0.004,0.14239 ± 0.005,0.14657 ± 0.002,0.13461 ± 0.007,0.16869 ± 0.007,0.13660 ± 0.002,0.13839 ± 0.003,0.16120 ± 0.002,0.18078 ± 0.002
Q2_Q3_0.75,0.04735 ± 0.000,0.06864 ± 0.001,0.04908 ± 0.002,0.06111 ± 0.004,0.07485 ± 0.004,0.06040 ± 0.001,0.04853 ± 0.001,0.11574 ± 0.016,0.05509 ± 0.002,0.05409 ± 0.002,0.08491 ± 0.001,0.11046 ± 0.000
Q2_Q4_0.75,0.21663 ± 0.002,0.17491 ± 0.003,1.36786 ± 2.383,0.53645 ± 0.234,0.15013 ± 0.004,0.20788 ± 0.002,0.19589 ± 0.027,0.26215 ± 0.016,0.20460 ± 0.002,0.20580 ± 0.003,0.22427 ± 0.003,0.23875 ± 0.002
Q3_Q4_0.75,0.23203 ± 0.002,0.18293 ± 0.003,763.22170 ± 1525.954,2.73747 ± 0.929,0.15317 ± 0.004,0.22248 ± 0.002,0.19807 ± 0.041,0.28312 ± 0.012,0.21586 ± 0.002,0.21963 ± 0.000,0.23016 ± 0.003,0.25216 ± 0.002
Q1_0.75,0.14191 ± 0.001,0.12126 ± 0.002,0.11018 ± 0.003,0.16337 ± 0.005,0.09321 ± 0.002,0.13584 ± 0.002,0.09570 ± 0.005,0.20157 ± 0.007,0.09483 ± 0.007,0.09116 ± 0.008,0.09402 ± 0.001,0.17354 ± 0.001
Q2_0.75,0.04729 ± 0.001,0.05744 ± 0.001,0.07611 ± 0.011,0.06796 ± 0.003,0.06525 ± 0.002,0.05718 ± 0.001,0.04018 ± 0.002,0.08036 ± 0.012,0.04639 ± 0.002,0.04692 ± 0.002,0.07642 ± 0.001,0.11094 ± 0.001
Q3_0.75,0.05161 ± 0.001,0.06414 ± 0.001,0.06111 ± 0.007,0.07001 ± 0.011,0.07540 ± 0.001,0.06038 ± 0.001,0.05019 ± 0.001,0.10267 ± 0.009,0.05378 ± 0.001,0.05422 ± 0.002,0.09278 ± 0.002,0.11199 ± 0.002
Q4_0.75,0.29476 ± 0.002,0.21962 ± 0.003,0.20869 ± 0.007,1.90201 ± 0.587,0.19664 ± 0.002,0.28292 ± 0.003,0.24505 ± 0.042,0.34877 ± 0.020,0.26958 ± 0.004,0.27662 ± 0.003,0.29878 ± 0.003,0.31107 ± 0.003
Q1_Q2_1.0,0.41017 ± 0.003,0.40187 ± 0.002,0.43191 ± 0.010,0.41287 ± 0.017,0.40968 ± 0.003,0.38763 ± 0.004,0.39916 ± 0.003,0.40533 ± 0.015,2.84786 ± 0.193,0.38320 ± 0.002,0.09860 ± 0.001,0.42263 ± 0.004
Q1_Q3_1.0,0.41110 ± 0.003,0.39420 ± 0.001,0.42918 ± 0.013,244222.92000 ± 488445.000,0.40384 ± 0.007,0.38664 ± 0.004,0.39603 ± 0.003,0.39169 ± 0.016,2.89812 ± 0.196,0.38126 ± 0.009,0.09848 ± 0.001,0.42256 ± 0.003
Q1_Q4_1.0,0.21252 ± 0.029,0.21291 ± 0.029,0.21112 ± 0.029,0.21120 ± 0.029,0.21032 ± 0.030,0.21047 ± 0.003,0.21092 ± 0.029,0.19564 ± 0.030,5.72962 ± 0.491,0.23405 ± 0.036,0.16348 ± 0.002,0.23457 ± 0.026
Q2_Q3_1.0,0.05174 ± 0.000,0.10593 ± 0.001,0.07113 ± 0.024,0.10505 ± 0.011,0.11307 ± 0.004,0.06721 ± 0.000,0.06844 ± 0.010,0.13944 ± 0.013,0.06759 ± 0.003,0.06805 ± 0.004,0.08564 ± 0.001,0.11242 ± 0.002
Q2_Q4_1.0,0.22951 ± 0.003,0.22660 ± 0.003,0.22489 ± 0.008,0.21180 ± 0.003,0.21372 ± 0.003,0.22874 ± 0.003,0.21332 ± 0.003,0.26671 ± 0.015,0.22122 ± 0.003,0.22377 ± 0.005,0.22742 ± 0.003,0.24995 ± 0.002
Q3_Q4_1.0,0.25465 ± 0.002,0.25166 ± 0.003,0.26148 ± 0.011,0.23858 ± 0.002,0.24604 ± 0.002,0.25359 ± 0.003,0.24574 ± 0.002,0.29486 ± 0.017,0.24812 ± 0.006,0.24529 ± 0.003,0.23436 ± 0.003,0.27317 ± 0.002
Q1_1.0,0.45034 ± 0.004,0.43153 ± 0.002,0.79409 ± 0.471,0.55367 ± 0.218,0.44561 ± 0.008,0.42575 ± 0.004,0.43063 ± 0.007,0.43150 ± 0.027,3.29145 ± 0.397,0.41551 ± 0.019,0.10017 ± 0.001,0.46123 ± 0.004
Q2_1.0,0.05205 ± 0.001,0.07939 ± 0.002,0.07066 ± 0.002,0.08855 ± 0.029,0.09053 ± 0.001,0.06137 ± 0.001,0.06537 ± 0.001,0.09375 ± 0.009,0.05740 ± 0.002,0.05673 ± 0.004,0.07697 ± 0.000,0.11239 ± 0.000
Q3_1.0,0.05440 ± 0.001,0.07911 ± 0.001,0.06100 ± 0.004,0.07148 ± 0.008,0.09575 ± 0.003,0.06410 ± 0.001,0.06554 ± 0.001,0.12347 ± 0.017,0.05986 ± 0.003,0.06100 ± 0.003,0.09320 ± 0.001,0.11354 ± 0.002
Q4_1.0,0.30750 ± 0.003,0.29577 ± 0.003,0.27135 ± 0.003,0.27407 ± 0.003,0.28003 ± 0.003,0.30654 ± 0.003,0.28443 ± 0.012,0.34480 ± 0.009,0.29171 ± 0.003,0.29204 ± 0.003,0.30330 ± 0.004,0.32361 ± 0.002
