,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.46826 ± 0.046,0.45363 ± 0.053,0.45984 ± 0.043,0.49107 ± 0.012,0.40076 ± 0.049,0.44752 ± 0.029,0.45660 ± 0.031,0.44173 ± 0.053,0.15507 ± 0.017,0.17764 ± 0.010,0.33628 ± 0.096,0.45483 ± 0.048
Q1_Q3_0.5,0.45801 ± 0.037,0.43345 ± 0.035,0.45483 ± 0.035,0.45970 ± 0.038,0.45338 ± 0.048,0.44911 ± 0.040,0.41118 ± 0.038,0.42942 ± 0.051,0.17960 ± 0.031,0.19091 ± 0.016,0.30409 ± 0.100,0.45046 ± 0.039
Q1_Q4_0.5,0.32308 ± 0.031,0.30192 ± 0.030,0.36696 ± 0.021,0.36694 ± 0.012,0.33532 ± 0.027,0.31898 ± 0.029,0.32930 ± 0.034,0.32780 ± 0.024,0.11885 ± 0.012,0.12183 ± 0.023,0.23551 ± 0.051,0.32913 ± 0.026
Q2_Q3_0.5,0.53929 ± 0.040,0.50297 ± 0.036,0.51377 ± 0.047,0.51540 ± 0.046,0.52257 ± 0.043,0.52865 ± 0.040,0.51988 ± 0.039,0.48496 ± 0.051,0.19649 ± 0.013,0.20551 ± 0.039,0.28730 ± 0.064,0.51862 ± 0.037
Q2_Q4_0.5,0.34153 ± 0.032,0.32092 ± 0.030,0.36520 ± 0.031,0.37069 ± 0.029,0.37821 ± 0.030,0.35236 ± 0.033,0.36782 ± 0.032,0.30639 ± 0.034,0.12922 ± 0.011,0.12290 ± 0.013,0.38443 ± 0.041,0.32703 ± 0.030
Q3_Q4_0.5,0.35779 ± 0.039,0.36618 ± 0.036,0.39871 ± 0.041,0.40219 ± 0.039,0.40557 ± 0.044,0.36914 ± 0.037,0.38482 ± 0.047,0.29878 ± 0.043,0.13081 ± 0.008,0.13249 ± 0.021,0.28260 ± 0.096,0.34149 ± 0.037
Q1_0.5,0.46344 ± 0.041,0.48481 ± 0.038,0.47609 ± 0.038,0.47987 ± 0.039,0.46678 ± 0.051,0.46310 ± 0.036,0.46157 ± 0.046,0.45035 ± 0.068,0.20190 ± 0.017,0.25093 ± 0.058,0.31798 ± 0.060,0.46851 ± 0.046
Q2_0.5,0.53600 ± 0.037,0.53110 ± 0.040,0.53021 ± 0.038,0.52913 ± 0.039,0.53078 ± 0.036,0.53343 ± 0.035,0.53047 ± 0.037,0.52009 ± 0.037,0.21558 ± 0.035,0.20345 ± 0.022,0.25636 ± 0.070,0.52774 ± 0.043
Q3_0.5,0.54003 ± 0.039,0.52794 ± 0.037,0.52397 ± 0.038,0.52525 ± 0.036,0.52099 ± 0.036,0.53200 ± 0.036,0.52707 ± 0.039,0.49897 ± 0.063,0.22232 ± 0.042,0.19617 ± 0.023,0.30283 ± 0.064,0.52707 ± 0.035
Q4_0.5,0.34322 ± 0.014,0.34846 ± 0.018,0.38052 ± 0.010,0.37621 ± 0.013,0.38496 ± 0.011,0.35102 ± 0.008,0.38623 ± 0.011,0.31662 ± 0.013,0.11542 ± 0.023,0.12646 ± 0.009,0.27672 ± 0.016,0.34679 ± 0.007
Q1_Q2_0.75,0.40896 ± 0.034,0.36995 ± 0.034,0.42516 ± 0.044,0.39473 ± 0.023,0.39039 ± 0.042,0.42314 ± 0.039,0.39685 ± 0.033,0.39375 ± 0.046,0.16414 ± 0.052,0.15455 ± 0.030,0.28760 ± 0.063,0.38289 ± 0.040
Q1_Q3_0.75,0.40680 ± 0.038,0.38341 ± 0.046,0.41527 ± 0.026,0.42274 ± 0.026,0.38757 ± 0.054,0.42532 ± 0.015,0.36194 ± 0.041,0.42213 ± 0.055,0.16501 ± 0.015,0.18319 ± 0.025,0.36657 ± 0.061,0.39918 ± 0.046
Q1_Q4_0.75,0.18360 ± 0.002,0.19220 ± 0.005,0.20057 ± 0.007,0.19986 ± 0.004,0.19710 ± 0.015,0.19408 ± 0.004,0.17745 ± 0.013,0.17572 ± 0.016,0.06427 ± 0.016,0.07188 ± 0.008,0.31352 ± 0.068,0.17981 ± 0.018
Q2_Q3_0.75,0.53662 ± 0.039,0.49027 ± 0.039,0.46958 ± 0.041,0.47964 ± 0.044,0.49608 ± 0.048,0.52910 ± 0.040,0.47987 ± 0.057,0.48133 ± 0.048,0.18117 ± 0.030,0.20292 ± 0.010,0.26246 ± 0.083,0.49190 ± 0.043
Q2_Q4_0.75,0.28364 ± 0.022,0.26345 ± 0.012,0.28424 ± 0.017,0.28799 ± 0.015,0.29333 ± 0.024,0.28323 ± 0.019,0.28792 ± 0.012,0.23717 ± 0.027,0.08986 ± 0.019,0.09265 ± 0.017,0.29535 ± 0.081,0.26230 ± 0.018
Q3_Q4_0.75,0.25950 ± 0.019,0.24959 ± 0.023,0.26330 ± 0.017,0.27655 ± 0.016,0.27759 ± 0.019,0.26639 ± 0.020,0.26688 ± 0.021,0.20434 ± 0.045,0.06424 ± 0.011,0.06796 ± 0.017,0.37506 ± 0.060,0.23445 ± 0.007
Q1_0.75,0.39133 ± 0.038,0.37343 ± 0.044,0.41543 ± 0.040,0.39549 ± 0.034,0.34667 ± 0.039,0.41026 ± 0.041,0.35538 ± 0.023,0.40516 ± 0.026,0.16053 ± 0.035,0.18819 ± 0.020,0.26864 ± 0.099,0.38209 ± 0.038
Q2_0.75,0.53093 ± 0.033,0.51276 ± 0.035,0.52388 ± 0.030,0.52485 ± 0.033,0.52092 ± 0.035,0.52942 ± 0.035,0.52109 ± 0.034,0.51013 ± 0.036,0.20285 ± 0.016,0.22861 ± 0.043,0.26526 ± 0.086,0.51865 ± 0.037
Q3_0.75,0.54087 ± 0.036,0.51627 ± 0.039,0.52253 ± 0.036,0.52189 ± 0.038,0.52572 ± 0.038,0.54439 ± 0.043,0.53115 ± 0.032,0.50066 ± 0.040,0.18067 ± 0.024,0.21459 ± 0.024,0.35014 ± 0.071,0.52758 ± 0.035
Q4_0.75,0.30004 ± 0.031,0.30242 ± 0.034,0.32065 ± 0.033,0.31495 ± 0.031,0.32011 ± 0.031,0.32740 ± 0.017,0.31381 ± 0.033,0.24961 ± 0.046,0.09780 ± 0.042,0.08985 ± 0.023,0.36625 ± 0.094,0.29722 ± 0.028
Q1_Q2_1.0,0.20051 ± 0.012,0.18465 ± 0.007,0.23570 ± 0.023,0.19861 ± 0.017,0.16503 ± 0.010,0.19807 ± 0.006,0.16366 ± 0.011,0.18333 ± 0.016,0.11823 ± 0.021,0.10998 ± 0.025,0.36987 ± 0.058,0.16677 ± 0.004
Q1_Q3_1.0,0.20751 ± 0.005,0.18364 ± 0.013,0.21776 ± 0.012,0.19344 ± 0.007,0.17726 ± 0.016,0.19671 ± 0.007,0.16591 ± 0.013,0.21257 ± 0.017,0.15396 ± 0.016,0.15551 ± 0.011,0.36329 ± 0.052,0.19135 ± 0.011
Q1_Q4_1.0,0.04796 ± 0.001,0.04796 ± 0.001,0.04810 ± 0.001,0.04796 ± 0.001,0.04796 ± 0.001,0.05010 ± 0.004,0.05312 ± 0.010,0.06818 ± 0.002,0.05105 ± 0.005,0.06304 ± 0.013,0.17786 ± 0.039,0.08147 ± 0.002
Q2_Q3_1.0,0.53763 ± 0.039,0.48730 ± 0.032,0.42087 ± 0.033,0.41316 ± 0.032,0.47911 ± 0.038,0.51785 ± 0.035,0.41344 ± 0.057,0.44554 ± 0.052,0.18028 ± 0.021,0.18179 ± 0.020,0.33531 ± 0.075,0.48391 ± 0.042
Q2_Q4_1.0,0.16624 ± 0.007,0.12797 ± 0.013,0.15626 ± 0.009,0.16428 ± 0.005,0.15795 ± 0.007,0.16724 ± 0.007,0.15397 ± 0.006,0.15036 ± 0.020,0.06719 ± 0.016,0.07312 ± 0.013,0.32960 ± 0.075,0.13862 ± 0.004
Q3_Q4_1.0,0.15676 ± 0.005,0.13449 ± 0.007,0.13419 ± 0.003,0.15195 ± 0.002,0.15128 ± 0.010,0.15033 ± 0.004,0.14273 ± 0.011,0.12263 ± 0.018,0.05209 ± 0.006,0.06037 ± 0.010,0.38905 ± 0.043,0.12064 ± 0.005
Q1_1.0,0.22109 ± 0.008,0.20353 ± 0.008,0.27396 ± 0.074,0.22010 ± 0.009,0.20568 ± 0.009,0.22241 ± 0.014,0.20539 ± 0.005,0.22227 ± 0.015,0.16013 ± 0.012,0.17663 ± 0.024,0.35490 ± 0.098,0.20701 ± 0.006
Q2_1.0,0.52978 ± 0.035,0.49897 ± 0.038,0.50728 ± 0.032,0.50384 ± 0.030,0.51217 ± 0.039,0.53002 ± 0.039,0.50471 ± 0.034,0.48862 ± 0.047,0.21091 ± 0.020,0.19121 ± 0.022,0.29092 ± 0.099,0.51765 ± 0.037
Q3_1.0,0.53625 ± 0.034,0.51720 ± 0.037,0.51788 ± 0.042,0.51776 ± 0.045,0.51863 ± 0.038,0.53993 ± 0.040,0.51850 ± 0.041,0.51283 ± 0.042,0.16923 ± 0.016,0.21428 ± 0.021,0.32479 ± 0.069,0.52498 ± 0.040
Q4_1.0,0.16830 ± 0.005,0.14868 ± 0.005,0.16919 ± 0.006,0.16882 ± 0.006,0.17089 ± 0.005,0.17282 ± 0.009,0.17134 ± 0.005,0.14898 ± 0.013,0.07265 ± 0.018,0.07540 ± 0.028,0.39141 ± 0.062,0.16484 ± 0.006
