,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.14616 ± 0.001,0.13293 ± 0.002,0.10415 ± 0.002,inf ± nan,0.10962 ± 0.004,0.14564 ± 0.004,0.09409 ± 0.003,0.09856 ± 0.012,0.10984 ± 0.003,0.10205 ± 0.004,0.13327 ± 0.005,0.17806 ± 0.003
Q1_Q3_0.5,0.12431 ± 0.001,0.12008 ± 0.002,0.09991 ± 0.002,inf ± nan,0.09261 ± 0.001,0.12588 ± 0.002,0.08710 ± 0.002,0.09947 ± 0.006,0.09480 ± 0.004,0.09038 ± 0.002,0.13447 ± 0.003,0.15932 ± 0.002
Q1_Q4_0.5,0.18438 ± 0.001,0.17533 ± 0.001,0.13917 ± 0.002,inf ± nan,0.15203 ± 0.001,0.18333 ± 0.001,0.13055 ± 0.002,0.17908 ± 0.006,0.15642 ± 0.002,0.15688 ± 0.002,0.20260 ± 0.001,0.20881 ± 0.002
Q2_Q3_0.5,0.05639 ± 0.000,0.08983 ± 0.001,0.08488 ± 0.002,1039404.60000 ± 1625631.900,0.08948 ± 0.002,0.07512 ± 0.001,0.08801 ± 0.002,0.07647 ± 0.007,0.07038 ± 0.002,0.07072 ± 0.002,0.09631 ± 0.002,0.11585 ± 0.001
Q2_Q4_0.5,0.16421 ± 0.002,0.14803 ± 0.001,0.12525 ± 0.001,inf ± nan,0.13164 ± 0.001,0.16071 ± 0.003,0.11495 ± 0.002,0.15923 ± 0.006,0.13337 ± 0.003,0.13545 ± 0.001,0.17945 ± 0.003,0.19403 ± 0.002
Q3_Q4_0.5,0.17688 ± 0.001,0.16587 ± 0.002,0.12956 ± 0.000,inf ± nan,0.13462 ± 0.003,0.17173 ± 0.003,0.11592 ± 0.001,0.17931 ± 0.019,0.14193 ± 0.001,0.14687 ± 0.002,0.17859 ± 0.003,0.20381 ± 0.002
Q1_0.5,0.16959 ± 0.002,0.13642 ± 0.001,0.09745 ± 0.001,inf ± nan,0.11397 ± 0.005,0.16019 ± 0.002,0.09136 ± 0.001,0.11148 ± 0.014,0.11647 ± 0.004,0.10809 ± 0.005,0.16165 ± 0.008,0.19738 ± 0.003
Q2_0.5,0.07075 ± 0.001,0.08014 ± 0.001,0.06910 ± 0.001,inf ± nan,0.07737 ± 0.001,0.07753 ± 0.002,0.07369 ± 0.001,0.06822 ± 0.002,0.07059 ± 0.001,0.06795 ± 0.003,0.09678 ± 0.004,0.12175 ± 0.002
Q3_0.5,0.04751 ± 0.001,0.08326 ± 0.002,0.06907 ± 0.001,315517630000.00000 ± 631034900000.000,0.07433 ± 0.001,0.06910 ± 0.001,0.07424 ± 0.001,0.07395 ± 0.007,0.06651 ± 0.002,0.06723 ± 0.003,0.09668 ± 0.003,0.11101 ± 0.001
Q4_0.5,0.23254 ± 0.002,0.17173 ± 0.003,0.15288 ± 0.001,inf ± nan,0.16960 ± 0.003,0.21619 ± 0.003,0.13775 ± 0.007,0.20542 ± 0.017,0.18055 ± 0.003,0.18864 ± 0.002,0.23676 ± 0.004,0.25416 ± 0.003
Q1_Q2_0.75,0.17225 ± 0.001,0.17470 ± 0.002,0.13275 ± 0.002,inf ± nan,0.12819 ± 0.004,0.17696 ± 0.001,0.12132 ± 0.002,0.16774 ± 0.041,0.15005 ± 0.005,0.13842 ± 0.004,0.13335 ± 0.004,0.20063 ± 0.001
Q1_Q3_0.75,0.13433 ± 0.001,0.15326 ± 0.001,0.11264 ± 0.001,inf ± nan,0.10628 ± 0.008,0.14569 ± 0.002,0.10925 ± 0.002,0.11248 ± 0.010,0.10698 ± 0.002,0.10386 ± 0.003,0.13342 ± 0.002,0.16792 ± 0.002
Q1_Q4_0.75,0.18183 ± 0.001,0.19079 ± 0.001,0.15615 ± 0.001,inf ± nan,0.16651 ± 0.002,0.18544 ± 0.001,0.15170 ± 0.001,0.19901 ± 0.012,0.17004 ± 0.002,0.17246 ± 0.002,0.19925 ± 0.000,0.20789 ± 0.001
Q2_Q3_0.75,0.05843 ± 0.000,0.10885 ± 0.002,0.08611 ± 0.002,244322580000.00000 ± 488645170000.000,0.10890 ± 0.002,0.08205 ± 0.001,0.10670 ± 0.002,0.07872 ± 0.012,0.08105 ± 0.001,0.07745 ± 0.002,0.09597 ± 0.001,0.11640 ± 0.001
Q2_Q4_0.75,0.17207 ± 0.001,0.17783 ± 0.001,0.13809 ± 0.003,inf ± nan,0.14472 ± 0.002,0.17617 ± 0.003,0.13019 ± 0.001,0.17788 ± 0.013,0.14750 ± 0.002,0.14977 ± 0.002,0.17849 ± 0.002,0.19852 ± 0.001
Q3_Q4_0.75,0.20226 ± 0.001,0.21194 ± 0.002,0.15396 ± 0.003,inf ± nan,0.15424 ± 0.003,0.20552 ± 0.002,0.14389 ± 0.003,0.21979 ± 0.012,0.17871 ± 0.007,0.19048 ± 0.004,0.18105 ± 0.002,0.22680 ± 0.001
Q1_0.75,0.18265 ± 0.001,0.18312 ± 0.002,0.11978 ± 0.000,inf ± nan,0.13632 ± 0.008,0.19075 ± 0.002,0.11610 ± 0.003,0.14353 ± 0.010,0.14318 ± 0.005,0.13276 ± 0.006,0.16164 ± 0.007,0.20911 ± 0.002
Q2_0.75,0.07470 ± 0.000,0.08967 ± 0.001,0.07711 ± 0.001,inf ± nan,0.08641 ± 0.001,0.08339 ± 0.002,0.08401 ± 0.001,0.06577 ± 0.007,0.07550 ± 0.002,0.07115 ± 0.004,0.09721 ± 0.003,0.12596 ± 0.001
Q3_0.75,0.04991 ± 0.000,0.09406 ± 0.002,0.07416 ± 0.001,inf ± nan,0.08442 ± 0.001,0.07282 ± 0.001,0.08345 ± 0.002,0.07634 ± 0.007,0.06947 ± 0.002,0.07087 ± 0.001,0.09704 ± 0.003,0.11138 ± 0.001
Q4_0.75,0.24958 ± 0.002,0.22710 ± 0.002,0.17861 ± 0.002,inf ± nan,0.19110 ± 0.003,0.24689 ± 0.003,0.16830 ± 0.005,0.25485 ± 0.032,0.20920 ± 0.005,0.21815 ± 0.004,0.23729 ± 0.005,0.26898 ± 0.001
Q1_Q2_1.0,0.21458 ± 0.002,0.22090 ± 0.002,0.21930 ± 0.003,inf ± nan,0.21487 ± 0.008,0.21825 ± 0.001,0.21326 ± 0.005,0.23016 ± 0.012,0.21319 ± 0.004,0.20787 ± 0.006,0.13326 ± 0.003,0.23668 ± 0.002
Q1_Q3_1.0,0.15232 ± 0.001,0.17936 ± 0.001,0.13483 ± 0.004,682819100000000.00000 ± 1365638000000000.000,0.12693 ± 0.002,0.17086 ± 0.001,0.13675 ± 0.003,0.13851 ± 0.023,0.13892 ± 0.005,0.13162 ± 0.003,0.13360 ± 0.002,0.18284 ± 0.001
Q1_Q4_1.0,0.18423 ± 0.001,0.18734 ± 0.001,0.17843 ± 0.001,56444015000.00000 ± 112888030000.000,0.18162 ± 0.003,0.18548 ± 0.001,0.18002 ± 0.001,0.25126 ± 0.002,0.18371 ± 0.002,0.18326 ± 0.001,0.19955 ± 0.000,0.20980 ± 0.002
Q2_Q3_1.0,0.06244 ± 0.000,0.13296 ± 0.001,0.08414 ± 0.001,inf ± nan,0.14035 ± 0.002,0.09095 ± 0.002,0.13388 ± 0.002,0.09241 ± 0.013,0.09381 ± 0.002,0.08900 ± 0.002,0.09562 ± 0.001,0.11799 ± 0.001
Q2_Q4_1.0,0.18589 ± 0.002,0.19307 ± 0.003,0.16062 ± 0.001,inf ± nan,0.15819 ± 0.002,0.19487 ± 0.002,0.15631 ± 0.002,0.20305 ± 0.010,0.16672 ± 0.005,0.17452 ± 0.003,0.17723 ± 0.002,0.21169 ± 0.002
Q3_Q4_1.0,0.23422 ± 0.001,0.23752 ± 0.002,0.23610 ± 0.002,inf ± nan,0.21509 ± 0.003,0.23876 ± 0.001,0.21696 ± 0.004,0.26775 ± 0.013,0.23401 ± 0.004,0.23386 ± 0.003,0.17956 ± 0.002,0.25341 ± 0.001
Q1_1.0,0.19760 ± 0.002,0.22690 ± 0.003,0.14690 ± 0.002,inf ± nan,0.16732 ± 0.003,0.21337 ± 0.003,0.15357 ± 0.002,0.19507 ± 0.025,0.17716 ± 0.003,0.16497 ± 0.004,0.16128 ± 0.006,0.22246 ± 0.001
Q2_1.0,0.08066 ± 0.001,0.10576 ± 0.002,0.08462 ± 0.001,inf ± nan,0.09806 ± 0.003,0.08639 ± 0.001,0.09384 ± 0.002,0.06661 ± 0.007,0.07992 ± 0.005,0.07403 ± 0.001,0.09683 ± 0.002,0.12774 ± 0.001
Q3_1.0,0.05283 ± 0.000,0.11155 ± 0.002,0.08288 ± 0.002,inf ± nan,0.09430 ± 0.003,0.07852 ± 0.003,0.09605 ± 0.002,0.08625 ± 0.004,0.07141 ± 0.001,0.07536 ± 0.002,0.09601 ± 0.002,0.11371 ± 0.001
Q4_1.0,0.26395 ± 0.001,0.27166 ± 0.002,0.20409 ± 0.001,inf ± nan,0.22537 ± 0.002,0.27288 ± 0.002,0.21178 ± 0.002,0.25658 ± 0.032,0.24118 ± 0.004,0.24391 ± 0.006,0.23581 ± 0.003,0.28205 ± 0.002
