,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q3_0.5,12.12572 ± 0.282,12.21301 ± 0.287,12.10088 ± 0.313,12.12006 ± 0.316,12.10341 ± 0.298,12.12955 ± 0.291,12.12799 ± 0.312,11.81017 ± 0.430,15.52360 ± 0.327,15.51351 ± 0.336,59459.27710 ± 2001.298,12.11912 ± 0.287
Q4_0.5,13.93080 ± 0.318,14.11051 ± 0.357,13.94005 ± 0.304,13.97452 ± 0.318,13.97143 ± 0.318,13.97856 ± 0.326,13.96475 ± 0.317,14.84238 ± 0.382,15.51616 ± 0.317,15.51599 ± 0.321,58786.41424 ± 1397.259,13.94462 ± 0.336
Q1_Q2_0.75,14.35939 ± 0.295,14.44369 ± 0.345,14.34669 ± 0.285,14.04511 ± 0.431,14.29251 ± 0.419,14.45292 ± 0.298,14.28373 ± 0.382,14.89453 ± 0.513,15.37277 ± 0.326,15.37003 ± 0.342,44009.27038 ± 5396.280,14.36437 ± 0.319
Q1_Q3_0.75,13.79454 ± 0.313,13.70893 ± 0.277,13.85258 ± 0.232,13.64369 ± 0.165,13.67648 ± 0.422,13.77604 ± 0.288,13.61484 ± 0.241,13.38855 ± 1.394,15.42372 ± 0.318,15.40984 ± 0.298,48092.22031 ± 2557.835,13.80772 ± 0.277
Q1_Q4_0.75,15.05377 ± 0.292,15.06553 ± 0.318,15.08776 ± 0.307,15.17488 ± 0.286,15.23342 ± 0.276,14.98654 ± 0.286,15.19117 ± 0.272,14.99480 ± 0.406,15.42508 ± 0.323,15.44243 ± 0.308,45191.08529 ± 3832.497,15.10671 ± 0.263
Q2_Q3_0.75,12.32387 ± 0.305,12.62206 ± 0.364,12.26689 ± 0.290,12.35488 ± 0.278,12.31011 ± 0.293,12.43901 ± 0.308,12.36066 ± 0.252,12.32136 ± 1.383,15.52050 ± 0.310,15.50396 ± 0.311,48188.68856 ± 3760.380,12.37396 ± 0.312
Q2_Q4_0.75,14.73291 ± 0.299,15.01481 ± 0.357,14.77599 ± 0.266,14.81546 ± 0.320,14.76487 ± 0.260,14.79335 ± 0.318,14.75065 ± 0.311,15.35202 ± 0.151,15.54309 ± 0.318,15.53251 ± 0.310,47154.45038 ± 1912.010,14.69604 ± 0.333
Q3_Q4_0.75,14.83368 ± 0.291,14.96983 ± 0.268,14.85695 ± 0.316,14.86884 ± 0.342,14.93937 ± 0.334,14.81785 ± 0.293,14.95181 ± 0.293,15.02831 ± 0.187,15.47484 ± 0.338,15.47226 ± 0.316,50146.22624 ± 2183.325,14.88219 ± 0.289
Q1_0.75,13.83013 ± 0.320,13.79253 ± 0.360,13.70229 ± 0.349,13.68543 ± 0.318,13.70530 ± 0.333,13.80128 ± 0.346,13.80386 ± 0.351,13.68977 ± 0.741,15.45317 ± 0.320,15.45593 ± 0.316,51537.46320 ± 2317.809,13.78210 ± 0.301
Q2_0.75,12.41195 ± 0.300,12.64116 ± 0.278,12.48509 ± 0.286,12.47612 ± 0.296,12.42813 ± 0.304,12.50891 ± 0.313,12.46489 ± 0.306,12.92594 ± 0.451,15.51189 ± 0.339,15.50298 ± 0.323,55353.81482 ± 1198.062,12.51920 ± 0.259
Q3_0.75,12.05829 ± 0.313,12.23091 ± 0.288,12.10119 ± 0.317,12.03009 ± 0.310,12.00783 ± 0.306,12.10600 ± 0.317,12.09129 ± 0.310,11.77766 ± 0.291,15.48842 ± 0.324,15.48452 ± 0.315,57447.94840 ± 2506.268,12.07464 ± 0.312
Q4_0.75,14.77774 ± 0.381,14.96319 ± 0.458,14.77238 ± 0.377,14.78329 ± 0.376,14.80773 ± 0.352,14.75500 ± 0.385,14.79582 ± 0.378,15.38320 ± 0.377,15.50527 ± 0.324,15.51294 ± 0.321,57357.47012 ± 1624.677,14.83309 ± 0.365
Q1_Q2_1.0,15.23663 ± 0.332,15.21200 ± 0.319,15.19204 ± 0.304,15.17252 ± 0.304,15.24701 ± 0.316,15.16680 ± 0.314,15.22277 ± 0.330,15.46602 ± 0.287,15.45228 ± 0.322,15.47069 ± 0.296,27128.25745 ± 3046.206,15.23948 ± 0.329
Q1_Q3_1.0,14.65417 ± 0.303,14.46413 ± 0.265,14.65447 ± 0.289,14.66362 ± 0.282,14.67926 ± 0.381,14.54353 ± 0.299,14.63285 ± 0.375,14.76375 ± 0.527,15.44978 ± 0.317,15.45480 ± 0.317,32672.00832 ± 1611.531,14.55808 ± 0.329
Q1_Q4_1.0,15.42139 ± 0.316,15.42132 ± 0.324,15.41767 ± 0.306,15.43135 ± 0.315,15.43656 ± 0.311,15.41266 ± 0.307,15.42383 ± 0.315,15.23347 ± 0.149,15.45563 ± 0.310,15.45715 ± 0.308,34909.59258 ± 2890.472,15.42120 ± 0.317
Q2_Q3_1.0,12.17978 ± 0.274,12.35853 ± 0.333,12.19809 ± 0.307,12.31846 ± 0.209,12.52419 ± 0.298,12.45912 ± 0.333,12.44176 ± 0.329,11.56669 ± 1.675,15.48777 ± 0.304,15.46088 ± 0.298,39840.69607 ± 4344.083,12.34054 ± 0.288
Q2_Q4_1.0,15.25283 ± 0.342,15.37575 ± 0.422,15.27056 ± 0.324,15.26121 ± 0.325,15.30377 ± 0.303,15.33467 ± 0.346,15.31917 ± 0.332,15.35678 ± 0.536,15.49633 ± 0.316,15.50769 ± 0.316,35797.54755 ± 2218.540,15.30083 ± 0.321
Q3_Q4_1.0,15.45051 ± 0.343,15.50276 ± 0.354,15.45857 ± 0.344,15.45135 ± 0.343,15.44404 ± 0.291,15.47946 ± 0.351,15.46371 ± 0.365,15.57645 ± 0.369,15.48246 ± 0.348,15.49091 ± 0.349,42317.09863 ± 2297.508,15.46176 ± 0.312
Q1_1.0,14.52937 ± 0.305,14.41837 ± 0.321,14.42345 ± 0.300,14.44931 ± 0.305,14.53078 ± 0.286,14.45535 ± 0.294,14.52744 ± 0.320,14.53261 ± 0.732,15.47487 ± 0.310,15.46016 ± 0.316,49736.06594 ± 4310.552,14.53862 ± 0.309
Q2_1.0,12.54727 ± 0.318,12.74767 ± 0.287,12.58644 ± 0.329,12.57203 ± 0.324,12.58706 ± 0.293,12.72129 ± 0.375,12.55299 ± 0.292,13.87413 ± 0.765,15.55085 ± 0.327,15.52774 ± 0.329,53074.51117 ± 3511.981,12.62443 ± 0.268
Q3_1.0,11.95026 ± 0.283,12.16461 ± 0.282,11.91138 ± 0.327,11.99925 ± 0.291,11.98429 ± 0.303,11.97543 ± 0.308,12.03477 ± 0.290,11.28660 ± 0.499,15.47103 ± 0.317,15.46302 ± 0.335,55682.51966 ± 1032.847,12.02299 ± 0.293
Q4_1.0,15.26927 ± 0.349,15.30858 ± 0.402,15.28192 ± 0.347,15.26893 ± 0.342,15.27657 ± 0.350,15.24274 ± 0.342,15.28907 ± 0.350,15.52166 ± 0.363,15.52536 ± 0.333,15.53639 ± 0.322,56040.24759 ± 2924.023,15.31715 ± 0.362
