,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.90873 ± 0.008,0.88450 ± 0.005,0.94373 ± 0.003,0.94458 ± 0.004,0.92578 ± 0.007,0.89233 ± 0.007,0.90027 ± 0.009,0.94236 ± 0.014,0.82725 ± 0.048,0.84453 ± 0.038,0.63572 ± 0.007,0.88011 ± 0.005
Q1_Q3_0.5,0.91650 ± 0.005,0.88059 ± 0.008,0.90787 ± 0.006,0.90780 ± 0.003,0.91743 ± 0.007,0.91730 ± 0.004,0.92749 ± 0.005,0.91750 ± 0.009,0.83274 ± 0.026,0.80503 ± 0.019,0.50573 ± 0.016,0.89296 ± 0.008
Q1_Q4_0.5,0.82952 ± 0.007,0.84986 ± 0.008,0.88037 ± 0.003,0.86912 ± 0.006,0.87217 ± 0.011,0.84558 ± 0.002,0.91269 ± 0.011,0.85584 ± 0.017,0.67439 ± 0.101,0.65538 ± 0.085,0.53985 ± 0.030,0.81982 ± 0.008
Q2_Q3_0.5,0.97842 ± 0.003,0.89889 ± 0.004,0.88751 ± 0.007,0.88778 ± 0.005,0.93616 ± 0.006,0.95971 ± 0.003,0.92179 ± 0.005,0.94324 ± 0.004,0.77410 ± 0.022,0.79568 ± 0.022,0.49426 ± 0.041,0.93827 ± 0.007
Q2_Q4_0.5,0.90497 ± 0.003,0.89441 ± 0.004,0.92889 ± 0.003,0.93275 ± 0.003,0.92951 ± 0.002,0.90384 ± 0.005,0.93791 ± 0.003,0.89586 ± 0.017,0.77579 ± 0.021,0.77347 ± 0.054,0.55393 ± 0.019,0.87892 ± 0.003
Q3_Q4_0.5,0.89122 ± 0.010,0.89984 ± 0.010,0.93317 ± 0.004,0.93553 ± 0.002,0.92250 ± 0.008,0.89156 ± 0.003,0.93436 ± 0.008,0.90004 ± 0.020,0.74657 ± 0.049,0.77830 ± 0.094,0.62661 ± 0.022,0.87243 ± 0.007
Q1_0.5,0.93013 ± 0.006,0.92472 ± 0.012,0.96017 ± 0.003,0.95980 ± 0.005,0.95183 ± 0.004,0.92864 ± 0.006,0.95876 ± 0.004,0.97267 ± 0.009,0.87907 ± 0.016,0.90405 ± 0.022,0.57051 ± 0.017,0.92287 ± 0.006
Q2_0.5,0.98461 ± 0.001,0.96208 ± 0.005,0.95729 ± 0.001,0.95916 ± 0.003,0.97413 ± 0.004,0.97143 ± 0.002,0.96809 ± 0.003,0.97605 ± 0.006,0.88202 ± 0.032,0.86626 ± 0.025,0.50788 ± 0.020,0.96170 ± 0.006
Q3_0.5,0.99569 ± 0.001,0.97534 ± 0.006,0.96746 ± 0.003,0.96992 ± 0.002,0.98212 ± 0.004,0.98707 ± 0.002,0.98112 ± 0.004,0.97645 ± 0.013,0.85559 ± 0.031,0.88399 ± 0.013,0.51505 ± 0.034,0.98134 ± 0.002
Q4_0.5,0.93692 ± 0.003,0.95095 ± 0.004,0.97886 ± 0.001,0.98212 ± 0.002,0.97433 ± 0.001,0.94269 ± 0.008,0.98035 ± 0.004,0.95356 ± 0.026,0.83933 ± 0.062,0.82778 ± 0.088,0.57909 ± 0.018,0.92478 ± 0.006
Q1_Q2_0.75,0.84819 ± 0.002,0.78661 ± 0.013,0.88226 ± 0.004,0.88164 ± 0.003,0.84859 ± 0.005,0.83445 ± 0.008,0.80862 ± 0.012,0.89084 ± 0.016,0.76394 ± 0.009,0.78394 ± 0.025,0.69071 ± 0.014,0.79000 ± 0.003
Q1_Q3_0.75,0.87682 ± 0.006,0.82889 ± 0.006,0.85826 ± 0.005,0.85633 ± 0.004,0.85101 ± 0.014,0.87779 ± 0.007,0.86074 ± 0.007,0.86840 ± 0.012,0.77016 ± 0.016,0.80825 ± 0.010,0.53862 ± 0.053,0.83445 ± 0.008
Q1_Q4_0.75,0.72297 ± 0.018,0.72225 ± 0.009,0.77192 ± 0.007,0.76910 ± 0.011,0.78064 ± 0.009,0.75209 ± 0.009,0.80531 ± 0.004,0.75269 ± 0.010,0.62524 ± 0.077,0.49281 ± 0.065,0.52940 ± 0.005,0.72098 ± 0.005
Q2_Q3_0.75,0.95364 ± 0.003,0.82343 ± 0.009,0.79303 ± 0.004,0.80416 ± 0.005,0.86139 ± 0.011,0.93322 ± 0.003,0.82762 ± 0.004,0.90747 ± 0.009,0.76189 ± 0.021,0.76369 ± 0.022,0.50093 ± 0.035,0.91164 ± 0.005
Q2_Q4_0.75,0.87072 ± 0.008,0.82507 ± 0.010,0.87501 ± 0.005,0.88582 ± 0.006,0.86431 ± 0.018,0.87592 ± 0.006,0.86556 ± 0.017,0.83003 ± 0.020,0.67614 ± 0.038,0.71063 ± 0.053,0.57538 ± 0.023,0.82734 ± 0.008
Q3_Q4_0.75,0.81294 ± 0.007,0.76046 ± 0.011,0.87721 ± 0.006,0.87915 ± 0.005,0.83284 ± 0.012,0.83102 ± 0.008,0.82482 ± 0.021,0.82026 ± 0.022,0.70245 ± 0.058,0.70128 ± 0.066,0.67541 ± 0.012,0.73799 ± 0.008
Q1_0.75,0.90098 ± 0.003,0.87782 ± 0.005,0.94453 ± 0.002,0.94643 ± 0.002,0.93716 ± 0.003,0.89488 ± 0.003,0.91874 ± 0.013,0.94708 ± 0.022,0.86766 ± 0.023,0.86089 ± 0.027,0.64238 ± 0.010,0.87855 ± 0.007
Q2_0.75,0.97826 ± 0.002,0.92979 ± 0.004,0.93886 ± 0.004,0.94181 ± 0.005,0.96287 ± 0.007,0.95940 ± 0.002,0.94858 ± 0.003,0.96613 ± 0.009,0.80122 ± 0.054,0.84403 ± 0.028,0.55309 ± 0.031,0.95214 ± 0.005
Q3_0.75,0.98953 ± 0.003,0.94334 ± 0.007,0.94859 ± 0.005,0.95116 ± 0.006,0.96148 ± 0.008,0.98257 ± 0.003,0.94984 ± 0.007,0.94733 ± 0.017,0.88405 ± 0.024,0.85024 ± 0.039,0.56929 ± 0.038,0.96461 ± 0.003
Q4_0.75,0.90520 ± 0.002,0.90165 ± 0.008,0.96267 ± 0.003,0.96938 ± 0.002,0.94922 ± 0.005,0.91076 ± 0.007,0.95392 ± 0.005,0.89305 ± 0.039,0.75085 ± 0.074,0.69476 ± 0.059,0.63005 ± 0.022,0.88343 ± 0.006
Q1_Q2_1.0,0.77009 ± 0.005,0.71725 ± 0.004,0.70244 ± 0.014,0.64739 ± 0.005,0.78223 ± 0.043,0.78907 ± 0.016,0.74299 ± 0.019,0.80813 ± 0.038,0.64858 ± 0.056,0.63764 ± 0.036,0.73796 ± 0.013,0.67235 ± 0.012
Q1_Q3_1.0,0.84155 ± 0.006,0.77500 ± 0.013,0.80362 ± 0.005,0.80317 ± 0.002,0.74517 ± 0.026,0.83687 ± 0.004,0.78856 ± 0.020,0.83362 ± 0.008,0.76167 ± 0.034,0.78016 ± 0.019,0.58851 ± 0.034,0.78091 ± 0.009
Q1_Q4_1.0,0.62986 ± 0.010,0.63427 ± 0.010,0.66879 ± 0.005,0.61998 ± 0.016,0.62449 ± 0.018,0.65784 ± 0.016,0.62828 ± 0.011,0.64520 ± 0.018,0.44949 ± 0.086,0.51282 ± 0.125,0.57953 ± 0.012,0.63023 ± 0.007
Q2_Q3_1.0,0.93558 ± 0.004,0.75722 ± 0.008,0.76776 ± 0.003,0.75757 ± 0.004,0.74324 ± 0.024,0.91482 ± 0.005,0.74227 ± 0.018,0.87821 ± 0.025,0.73971 ± 0.008,0.74173 ± 0.009,0.54185 ± 0.034,0.89164 ± 0.009
Q2_Q4_1.0,0.84713 ± 0.006,0.72568 ± 0.012,0.78591 ± 0.018,0.83086 ± 0.009,0.76917 ± 0.017,0.85267 ± 0.007,0.79460 ± 0.022,0.80482 ± 0.043,0.74733 ± 0.019,0.74784 ± 0.008,0.61415 ± 0.014,0.78399 ± 0.010
Q3_Q4_1.0,0.77173 ± 0.005,0.65506 ± 0.009,0.74897 ± 0.018,0.74094 ± 0.014,0.69380 ± 0.020,0.79344 ± 0.004,0.68172 ± 0.021,0.69599 ± 0.022,0.66479 ± 0.029,0.69615 ± 0.021,0.73797 ± 0.008,0.62006 ± 0.019
Q1_1.0,0.88801 ± 0.004,0.83617 ± 0.012,0.88977 ± 0.005,0.90204 ± 0.006,0.87952 ± 0.015,0.87790 ± 0.006,0.88661 ± 0.008,0.91181 ± 0.007,0.84147 ± 0.016,0.81542 ± 0.039,0.66564 ± 0.011,0.85316 ± 0.007
Q2_1.0,0.97582 ± 0.004,0.88380 ± 0.007,0.93002 ± 0.006,0.93436 ± 0.005,0.95396 ± 0.013,0.93976 ± 0.003,0.89702 ± 0.012,0.96308 ± 0.018,0.81254 ± 0.063,0.78594 ± 0.048,0.59931 ± 0.015,0.93520 ± 0.004
Q3_1.0,0.98562 ± 0.002,0.91453 ± 0.007,0.94152 ± 0.011,0.94167 ± 0.010,0.89899 ± 0.018,0.97093 ± 0.005,0.87639 ± 0.009,0.96517 ± 0.010,0.83499 ± 0.020,0.84854 ± 0.020,0.59329 ± 0.019,0.95810 ± 0.008
Q4_1.0,0.87103 ± 0.004,0.84543 ± 0.010,0.90169 ± 0.042,0.91664 ± 0.003,0.84931 ± 0.017,0.88149 ± 0.006,0.85068 ± 0.016,0.85821 ± 0.028,0.73085 ± 0.056,0.69656 ± 0.026,0.66617 ± 0.020,0.81809 ± 0.011
