,mean,knn,mice,XGB,missforest,mf
Q2_0.5,0.96749 ± 0.002,0.94136 ± 0.003,0.92130 ± 0.002,0.94433 ± 0.007,0.93369 ± 0.005,0.94951 ± 0.002
Q3_0.5,0.97618 ± 0.002,0.95028 ± 0.005,0.92721 ± 0.001,0.95776 ± 0.005,0.95131 ± 0.006,0.95736 ± 0.004
Q4_0.5,0.88522 ± 0.006,0.89475 ± 0.007,0.91460 ± 0.005,0.94515 ± 0.006,0.92916 ± 0.003,0.86360 ± 0.003
Q1_Q2_0.75,0.75235 ± 0.004,0.78533 ± 0.009,0.74087 ± 0.006,0.76411 ± 0.010,0.76348 ± 0.007,0.76557 ± 0.009
Q1_Q3_0.75,0.85996 ± 0.003,0.80302 ± 0.007,0.82595 ± 0.008,0.85949 ± 0.008,0.82799 ± 0.015,0.84939 ± 0.005
Q1_Q4_0.75,0.74288 ± 0.007,0.74133 ± 0.012,0.76166 ± 0.005,0.80242 ± 0.010,0.76737 ± 0.008,0.71470 ± 0.009
Q2_Q3_0.75,0.93947 ± 0.004,0.80725 ± 0.009,0.76685 ± 0.008,0.85832 ± 0.010,0.80395 ± 0.012,0.90324 ± 0.011
Q2_Q4_0.75,0.81373 ± 0.005,0.78329 ± 0.011,0.77668 ± 0.005,0.84173 ± 0.011,0.79879 ± 0.019,0.77551 ± 0.009
Q3_Q4_0.75,0.80180 ± 0.009,0.73656 ± 0.008,0.81790 ± 0.005,0.80338 ± 0.021,0.81739 ± 0.006,0.76020 ± 0.008
Q1_0.75,0.86209 ± 0.003,0.83967 ± 0.002,0.87386 ± 0.007,0.89293 ± 0.008,0.87379 ± 0.008,0.86815 ± 0.006
Q2_0.75,0.95276 ± 0.003,0.91598 ± 0.004,0.88325 ± 0.007,0.92703 ± 0.010,0.90567 ± 0.010,0.93483 ± 0.004
Q3_0.75,0.98029 ± 0.003,0.91399 ± 0.007,0.89311 ± 0.006,0.92234 ± 0.006,0.91360 ± 0.008,0.94940 ± 0.004
Q4_0.75,0.85090 ± 0.007,0.84484 ± 0.011,0.87228 ± 0.009,0.89241 ± 0.011,0.89222 ± 0.008,0.82119 ± 0.007
Q1_Q2_1.0,0.88439 ± 0.003,0.73627 ± 0.006,0.68082 ± 0.037,0.71981 ± 0.054,0.77901 ± 0.064,0.73937 ± 0.008
Q1_Q3_1.0,0.84627 ± 0.009,0.76686 ± 0.014,0.79591 ± 0.010,0.78543 ± 0.013,0.74234 ± 0.027,0.80992 ± 0.004
Q1_Q4_1.0,0.71642 ± 0.019,0.68292 ± 0.009,0.72037 ± 0.028,0.69527 ± 0.011,0.70400 ± 0.013,0.73042 ± 0.010
Q2_Q3_1.0,0.91539 ± 0.005,0.75549 ± 0.015,0.72593 ± 0.007,0.74293 ± 0.018,0.76540 ± 0.033,0.89125 ± 0.006
Q2_Q4_1.0,0.80995 ± 0.010,0.74728 ± 0.015,0.75819 ± 0.019,0.75212 ± 0.008,0.75683 ± 0.028,0.74219 ± 0.006
Q3_Q4_1.0,0.81136 ± 0.005,0.66169 ± 0.008,0.80736 ± 0.012,0.69176 ± 0.044,0.72270 ± 0.031,0.72461 ± 0.006
Q1_1.0,0.87308 ± 0.003,0.82340 ± 0.008,0.85871 ± 0.005,0.83505 ± 0.013,0.84351 ± 0.008,0.85046 ± 0.004
Q2_1.0,0.93252 ± 0.003,0.88762 ± 0.004,0.82291 ± 0.005,0.88103 ± 0.009,0.84971 ± 0.014,0.91251 ± 0.006
Q3_1.0,0.98357 ± 0.003,0.89693 ± 0.004,0.86414 ± 0.008,0.86326 ± 0.014,0.83577 ± 0.021,0.94746 ± 0.003
Q4_1.0,0.81341 ± 0.006,0.80104 ± 0.010,0.78606 ± 0.024,0.82180 ± 0.007,0.81396 ± 0.023,0.78259 ± 0.012
