,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q3_0.5,0.81243 ± 0.008,0.90298 ± 0.006,0.86941 ± 0.004,0.83714 ± 0.009,0.86657 ± 0.007,0.86512 ± 0.007,0.88985 ± 0.007,0.88303 ± 0.003,0.91728 ± 0.005,0.88032 ± 0.014,0.75835 ± 0.051,0.73047 ± 0.042,0.55229 ± 0.037,0.83445 ± 0.007
Q1_Q4_0.5,0.77111 ± 0.016,0.84718 ± 0.008,0.78795 ± 0.005,0.80933 ± 0.010,0.86541 ± 0.006,0.85121 ± 0.010,0.84316 ± 0.008,0.78693 ± 0.007,0.90548 ± 0.009,0.79820 ± 0.023,0.59578 ± 0.040,0.58128 ± 0.032,0.58795 ± 0.028,0.77653 ± 0.008
Q2_Q3_0.5,0.85247 ± 0.013,0.90532 ± 0.002,0.96427 ± 0.001,0.88909 ± 0.005,0.85708 ± 0.006,0.86058 ± 0.005,0.90412 ± 0.008,0.94866 ± 0.004,0.91546 ± 0.004,0.91218 ± 0.014,0.75471 ± 0.025,0.77328 ± 0.016,0.54182 ± 0.039,0.91888 ± 0.007
Q2_Q4_0.5,0.80282 ± 0.011,0.83830 ± 0.010,0.84862 ± 0.004,0.85986 ± 0.010,0.89841 ± 0.002,0.89041 ± 0.005,0.89494 ± 0.007,0.85162 ± 0.004,0.93563 ± 0.006,0.83418 ± 0.015,0.65318 ± 0.023,0.65903 ± 0.053,0.62390 ± 0.014,0.81825 ± 0.011
Q3_Q4_0.5,0.81596 ± 0.004,0.87621 ± 0.004,0.84424 ± 0.013,0.85522 ± 0.014,0.91249 ± 0.005,0.91116 ± 0.004,0.89222 ± 0.009,0.83899 ± 0.007,0.92155 ± 0.009,0.86200 ± 0.025,0.63885 ± 0.016,0.71791 ± 0.079,0.63573 ± 0.020,0.80115 ± 0.010
Q1_0.5,0.85899 ± 0.009,0.97602 ± 0.002,0.86161 ± 0.007,0.88220 ± 0.010,0.91803 ± 0.005,0.92097 ± 0.004,0.90984 ± 0.004,0.88098 ± 0.005,0.95199 ± 0.006,0.93593 ± 0.016,0.84846 ± 0.018,0.86331 ± 0.021,0.58360 ± 0.036,0.86213 ± 0.007
Q2_0.5,0.90320 ± 0.006,0.93310 ± 0.004,0.96942 ± 0.002,0.95206 ± 0.005,0.94903 ± 0.004,0.94693 ± 0.005,0.95930 ± 0.002,0.95788 ± 0.005,0.96115 ± 0.002,0.96149 ± 0.006,0.79681 ± 0.011,0.78995 ± 0.027,0.59067 ± 0.027,0.94649 ± 0.006
Q3_0.5,0.90117 ± 0.005,0.92191 ± 0.002,0.98769 ± 0.001,0.96510 ± 0.009,0.94991 ± 0.002,0.94722 ± 0.002,0.96666 ± 0.005,0.97151 ± 0.001,0.97192 ± 0.005,0.95435 ± 0.019,0.81064 ± 0.034,0.83654 ± 0.037,0.57950 ± 0.050,0.96597 ± 0.004
Q4_0.5,0.87423 ± 0.007,0.93064 ± 0.007,0.87438 ± 0.002,0.91246 ± 0.006,0.95248 ± 0.002,0.95018 ± 0.004,0.95454 ± 0.002,0.89443 ± 0.006,0.97255 ± 0.004,0.90529 ± 0.042,0.74708 ± 0.082,0.73439 ± 0.080,0.63948 ± 0.036,0.85381 ± 0.008
Q1_Q2_0.75,0.76896 ± 0.007,0.90412 ± 0.003,0.69863 ± 0.009,0.73066 ± 0.009,0.73945 ± 0.003,0.71773 ± 0.005,0.74582 ± 0.015,0.71687 ± 0.004,0.78141 ± 0.016,0.81931 ± 0.030,0.69160 ± 0.034,0.66349 ± 0.023,0.67207 ± 0.029,0.71789 ± 0.009
Q1_Q3_0.75,0.76391 ± 0.009,0.87030 ± 0.001,0.78995 ± 0.007,0.77969 ± 0.004,0.82179 ± 0.008,0.79742 ± 0.008,0.81780 ± 0.017,0.80276 ± 0.005,0.84128 ± 0.008,0.80809 ± 0.022,0.65729 ± 0.027,0.70184 ± 0.034,0.56286 ± 0.014,0.78211 ± 0.009
Q1_Q4_0.75,0.68552 ± 0.013,0.78893 ± 0.010,0.69629 ± 0.009,0.70294 ± 0.015,0.75226 ± 0.007,0.73212 ± 0.009,0.72883 ± 0.008,0.67512 ± 0.009,0.78812 ± 0.005,0.69575 ± 0.034,0.51566 ± 0.035,0.48614 ± 0.034,0.58088 ± 0.033,0.69632 ± 0.014
Q2_Q3_0.75,0.79001 ± 0.008,0.84611 ± 0.006,0.94391 ± 0.003,0.79792 ± 0.005,0.76350 ± 0.003,0.76715 ± 0.006,0.80853 ± 0.011,0.91615 ± 0.006,0.82064 ± 0.005,0.85840 ± 0.020,0.74565 ± 0.020,0.74534 ± 0.014,0.57500 ± 0.035,0.88335 ± 0.004
Q2_Q4_0.75,0.72822 ± 0.010,0.78722 ± 0.007,0.77271 ± 0.011,0.76789 ± 0.007,0.81790 ± 0.010,0.82042 ± 0.008,0.81753 ± 0.019,0.77008 ± 0.010,0.85265 ± 0.012,0.75482 ± 0.045,0.65333 ± 0.029,0.67124 ± 0.035,0.61239 ± 0.021,0.74481 ± 0.005
Q3_Q4_0.75,0.76828 ± 0.019,0.85073 ± 0.007,0.75544 ± 0.015,0.73203 ± 0.009,0.84918 ± 0.007,0.83229 ± 0.007,0.79274 ± 0.013,0.74088 ± 0.005,0.80714 ± 0.016,0.72431 ± 0.070,0.66604 ± 0.026,0.65703 ± 0.025,0.67704 ± 0.021,0.68827 ± 0.009
Q1_0.75,0.83114 ± 0.007,0.97704 ± 0.002,0.78639 ± 0.010,0.81028 ± 0.006,0.88319 ± 0.010,0.87409 ± 0.004,0.87539 ± 0.006,0.79532 ± 0.009,0.90103 ± 0.010,0.87361 ± 0.049,0.82069 ± 0.053,0.82646 ± 0.015,0.59142 ± 0.037,0.80678 ± 0.012
Q2_0.75,0.87348 ± 0.006,0.92378 ± 0.005,0.96035 ± 0.002,0.92590 ± 0.002,0.90816 ± 0.005,0.90960 ± 0.005,0.93814 ± 0.007,0.94417 ± 0.005,0.94185 ± 0.005,0.95297 ± 0.010,0.72605 ± 0.011,0.74952 ± 0.021,0.61417 ± 0.025,0.93479 ± 0.009
Q3_0.75,0.88371 ± 0.010,0.91854 ± 0.004,0.98481 ± 0.002,0.92206 ± 0.009,0.91733 ± 0.002,0.90891 ± 0.007,0.91877 ± 0.011,0.96412 ± 0.005,0.93612 ± 0.010,0.90639 ± 0.021,0.85102 ± 0.032,0.80079 ± 0.045,0.57372 ± 0.046,0.95164 ± 0.005
Q4_0.75,0.83326 ± 0.010,0.92038 ± 0.004,0.80638 ± 0.009,0.86612 ± 0.004,0.91833 ± 0.003,0.91450 ± 0.007,0.90127 ± 0.004,0.82149 ± 0.004,0.93865 ± 0.006,0.82110 ± 0.058,0.62598 ± 0.021,0.61520 ± 0.007,0.64280 ± 0.032,0.78465 ± 0.010
Q1_Q2_1.0,0.73202 ± 0.011,0.90598 ± 0.007,0.67883 ± 0.007,0.70609 ± 0.008,0.66516 ± 0.013,0.55355 ± 0.010,0.74249 ± 0.069,0.66657 ± 0.007,0.72533 ± 0.016,0.74393 ± 0.050,0.60504 ± 0.046,0.59772 ± 0.050,0.72026 ± 0.063,0.65380 ± 0.009
Q1_Q3_1.0,0.71466 ± 0.011,0.83563 ± 0.011,0.75101 ± 0.003,0.73235 ± 0.010,0.78340 ± 0.013,0.77024 ± 0.007,0.71141 ± 0.025,0.77163 ± 0.009,0.75601 ± 0.018,0.78797 ± 0.028,0.67748 ± 0.047,0.71699 ± 0.060,0.59952 ± 0.034,0.74850 ± 0.007
Q1_Q4_1.0,0.61776 ± 0.029,0.74188 ± 0.014,0.60644 ± 0.019,0.62788 ± 0.014,0.66377 ± 0.004,0.61985 ± 0.014,0.62143 ± 0.014,0.64462 ± 0.018,0.62598 ± 0.009,0.60740 ± 0.027,0.37844 ± 0.040,0.43788 ± 0.098,0.59176 ± 0.039,0.61144 ± 0.005
Q2_Q3_1.0,0.76158 ± 0.007,0.87049 ± 0.009,0.92756 ± 0.004,0.75197 ± 0.007,0.71410 ± 0.005,0.71670 ± 0.005,0.73294 ± 0.025,0.90164 ± 0.007,0.72304 ± 0.022,0.80174 ± 0.046,0.72722 ± 0.007,0.71730 ± 0.014,0.59908 ± 0.016,0.85811 ± 0.011
Q2_Q4_1.0,0.68208 ± 0.012,0.79438 ± 0.004,0.76121 ± 0.021,0.72161 ± 0.011,0.74091 ± 0.018,0.75029 ± 0.012,0.75722 ± 0.024,0.74755 ± 0.010,0.79249 ± 0.024,0.74061 ± 0.044,0.71924 ± 0.018,0.71003 ± 0.026,0.58550 ± 0.026,0.71480 ± 0.011
Q3_Q4_1.0,0.71668 ± 0.009,0.82793 ± 0.008,0.67283 ± 0.007,0.63878 ± 0.007,0.71806 ± 0.009,0.64919 ± 0.010,0.66138 ± 0.021,0.67851 ± 0.014,0.65764 ± 0.021,0.63481 ± 0.015,0.63770 ± 0.028,0.64463 ± 0.023,0.74253 ± 0.018,0.60450 ± 0.008
Q1_1.0,0.80395 ± 0.009,0.97969 ± 0.003,0.79402 ± 0.008,0.78299 ± 0.006,0.85392 ± 0.004,0.82810 ± 0.005,0.79573 ± 0.022,0.79333 ± 0.007,0.83705 ± 0.013,0.84156 ± 0.010,0.73241 ± 0.016,0.75267 ± 0.022,0.66500 ± 0.017,0.78088 ± 0.004
Q2_1.0,0.85712 ± 0.005,0.90779 ± 0.005,0.95330 ± 0.004,0.88777 ± 0.004,0.86475 ± 0.010,0.87453 ± 0.005,0.90345 ± 0.008,0.91956 ± 0.003,0.89264 ± 0.012,0.94124 ± 0.016,0.71024 ± 0.017,0.70953 ± 0.013,0.60997 ± 0.012,0.91950 ± 0.006
Q3_1.0,0.86168 ± 0.005,0.91671 ± 0.006,0.98235 ± 0.002,0.90395 ± 0.004,0.88979 ± 0.005,0.89129 ± 0.006,0.83871 ± 0.014,0.95697 ± 0.003,0.86239 ± 0.014,0.91515 ± 0.008,0.77345 ± 0.042,0.79257 ± 0.038,0.59523 ± 0.040,0.94184 ± 0.010
Q4_1.0,0.79544 ± 0.017,0.91261 ± 0.003,0.73818 ± 0.014,0.79173 ± 0.008,0.82148 ± 0.056,0.85573 ± 0.005,0.80506 ± 0.030,0.75145 ± 0.004,0.82397 ± 0.015,0.77835 ± 0.060,0.66096 ± 0.024,0.66970 ± 0.018,0.69595 ± 0.006,0.72317 ± 0.012
