,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.56201 ± 0.039,0.83156 ± 0.042,0.78646 ± 0.031,0.84595 ± 0.025,0.83465 ± 0.019,0.83529 ± 0.023,0.84709 ± 0.029,0.83359 ± 0.030,0.84904 ± 0.029,0.80224 ± 0.056,0.81221 ± 0.016,0.81859 ± 0.030,0.39842 ± 0.008,0.80332 ± 0.020
Q1_Q3_0.5,0.65611 ± 0.077,0.83203 ± 0.041,0.80761 ± 0.021,0.83115 ± 0.021,0.83823 ± 0.030,0.84087 ± 0.026,0.83953 ± 0.031,0.83019 ± 0.030,0.84280 ± 0.034,0.78693 ± 0.069,0.81685 ± 0.025,0.80170 ± 0.015,0.39842 ± 0.008,0.82442 ± 0.024
Q1_Q4_0.5,0.70628 ± 0.027,0.81987 ± 0.036,0.81011 ± 0.019,0.83439 ± 0.027,0.84024 ± 0.025,0.82772 ± 0.025,0.83169 ± 0.030,0.82379 ± 0.017,0.84240 ± 0.035,0.76112 ± 0.034,0.81914 ± 0.042,0.80962 ± 0.032,0.39842 ± 0.008,0.80191 ± 0.027
Q2_Q3_0.5,0.80632 ± 0.057,0.81545 ± 0.053,0.84650 ± 0.037,0.85027 ± 0.035,0.85280 ± 0.035,0.85118 ± 0.031,0.84709 ± 0.025,0.84577 ± 0.029,0.84709 ± 0.034,0.80328 ± 0.058,0.79025 ± 0.043,0.79878 ± 0.040,0.39842 ± 0.008,0.84568 ± 0.036
Q2_Q4_0.5,0.82574 ± 0.030,0.81575 ± 0.026,0.83701 ± 0.031,0.83313 ± 0.033,0.84562 ± 0.033,0.84358 ± 0.029,0.83930 ± 0.037,0.84315 ± 0.029,0.83701 ± 0.031,0.73266 ± 0.103,0.76726 ± 0.056,0.78875 ± 0.042,0.39842 ± 0.008,0.82124 ± 0.038
Q3_Q4_0.5,0.80641 ± 0.015,0.82089 ± 0.018,0.83793 ± 0.036,0.84273 ± 0.032,0.84651 ± 0.035,0.84369 ± 0.034,0.84517 ± 0.026,0.84493 ± 0.028,0.84148 ± 0.036,0.71009 ± 0.081,0.75075 ± 0.028,0.76418 ± 0.031,0.39842 ± 0.008,0.82745 ± 0.041
Q1_0.5,0.75293 ± 0.037,0.83946 ± 0.031,0.78282 ± 0.023,0.83575 ± 0.024,0.84278 ± 0.021,0.84299 ± 0.022,0.85118 ± 0.030,0.81944 ± 0.024,0.84083 ± 0.036,0.78616 ± 0.071,0.80006 ± 0.029,0.80892 ± 0.025,0.39842 ± 0.008,0.81469 ± 0.019
Q2_0.5,0.80734 ± 0.033,0.83981 ± 0.034,0.85241 ± 0.036,0.84665 ± 0.024,0.84779 ± 0.032,0.84544 ± 0.030,0.84537 ± 0.035,0.85071 ± 0.028,0.84879 ± 0.032,0.79571 ± 0.056,0.79654 ± 0.037,0.79708 ± 0.037,0.39842 ± 0.008,0.84915 ± 0.031
Q3_0.5,0.84464 ± 0.029,0.81870 ± 0.039,0.84009 ± 0.036,0.84373 ± 0.032,0.84139 ± 0.035,0.84124 ± 0.036,0.85108 ± 0.025,0.84309 ± 0.036,0.84067 ± 0.038,0.79590 ± 0.056,0.79550 ± 0.025,0.80416 ± 0.038,0.39842 ± 0.008,0.83682 ± 0.034
Q4_0.5,0.83413 ± 0.025,0.81982 ± 0.032,0.83452 ± 0.037,0.84499 ± 0.037,0.84691 ± 0.033,0.84310 ± 0.036,0.84625 ± 0.034,0.83962 ± 0.037,0.83452 ± 0.037,0.79217 ± 0.038,0.78847 ± 0.028,0.78841 ± 0.038,0.39842 ± 0.008,0.83125 ± 0.035
Q1_Q2_0.75,0.40645 ± 0.012,0.80795 ± 0.042,0.71572 ± 0.018,0.82583 ± 0.024,0.82222 ± 0.024,0.81575 ± 0.014,0.82851 ± 0.022,0.80635 ± 0.041,0.83223 ± 0.011,0.76767 ± 0.054,0.76636 ± 0.035,0.79127 ± 0.023,0.39842 ± 0.008,0.78442 ± 0.012
Q1_Q3_0.75,0.45374 ± 0.030,0.81178 ± 0.030,0.69391 ± 0.007,0.83634 ± 0.019,0.81513 ± 0.012,0.83279 ± 0.021,0.82667 ± 0.031,0.81168 ± 0.037,0.82794 ± 0.013,0.79055 ± 0.039,0.77013 ± 0.027,0.78800 ± 0.023,0.39842 ± 0.008,0.78637 ± 0.029
Q1_Q4_0.75,0.62075 ± 0.042,0.75602 ± 0.035,0.77476 ± 0.024,0.81025 ± 0.042,0.83221 ± 0.022,0.81129 ± 0.028,0.82471 ± 0.030,0.76750 ± 0.026,0.82214 ± 0.017,0.74534 ± 0.038,0.76999 ± 0.009,0.78574 ± 0.039,0.40439 ± 0.019,0.77108 ± 0.039
Q2_Q3_0.75,0.80100 ± 0.022,0.81246 ± 0.025,0.83871 ± 0.032,0.84082 ± 0.040,0.84989 ± 0.035,0.84653 ± 0.031,0.85557 ± 0.024,0.83721 ± 0.035,0.84953 ± 0.028,0.77431 ± 0.074,0.78141 ± 0.057,0.79137 ± 0.051,0.39842 ± 0.008,0.83546 ± 0.036
Q2_Q4_0.75,0.80794 ± 0.031,0.78490 ± 0.028,0.83037 ± 0.037,0.83929 ± 0.042,0.83781 ± 0.027,0.84624 ± 0.029,0.83551 ± 0.031,0.83862 ± 0.029,0.83756 ± 0.026,0.59958 ± 0.114,0.77255 ± 0.035,0.74830 ± 0.050,0.39842 ± 0.008,0.80876 ± 0.030
Q3_Q4_0.75,0.80916 ± 0.028,0.72807 ± 0.017,0.81047 ± 0.041,0.82954 ± 0.039,0.82707 ± 0.040,0.82145 ± 0.038,0.83324 ± 0.032,0.82165 ± 0.052,0.82419 ± 0.043,0.72348 ± 0.044,0.74443 ± 0.046,0.70017 ± 0.016,0.39842 ± 0.008,0.79393 ± 0.042
Q1_0.75,0.54253 ± 0.081,0.83667 ± 0.035,0.68277 ± 0.013,0.82878 ± 0.014,0.81343 ± 0.020,0.82730 ± 0.026,0.82134 ± 0.014,0.81646 ± 0.029,0.83295 ± 0.025,0.73825 ± 0.049,0.76749 ± 0.034,0.78195 ± 0.037,0.39842 ± 0.008,0.78296 ± 0.030
Q2_0.75,0.80478 ± 0.047,0.84396 ± 0.027,0.85176 ± 0.026,0.85050 ± 0.032,0.84990 ± 0.032,0.85068 ± 0.031,0.84800 ± 0.034,0.84636 ± 0.032,0.84520 ± 0.035,0.80392 ± 0.052,0.78078 ± 0.042,0.78220 ± 0.043,0.39808 ± 0.007,0.84568 ± 0.027
Q3_0.75,0.83316 ± 0.040,0.82248 ± 0.034,0.83944 ± 0.040,0.84571 ± 0.035,0.84371 ± 0.036,0.85044 ± 0.031,0.84948 ± 0.031,0.83887 ± 0.033,0.84114 ± 0.038,0.79271 ± 0.056,0.77688 ± 0.046,0.78240 ± 0.067,0.39842 ± 0.008,0.84203 ± 0.032
Q4_0.75,0.81311 ± 0.017,0.80161 ± 0.040,0.82915 ± 0.035,0.84021 ± 0.038,0.84396 ± 0.038,0.83904 ± 0.033,0.84130 ± 0.039,0.83061 ± 0.032,0.83369 ± 0.039,0.65466 ± 0.053,0.74021 ± 0.051,0.77342 ± 0.049,0.39842 ± 0.008,0.81900 ± 0.034
Q1_Q2_1.0,0.40238 ± 0.004,0.74729 ± 0.045,0.40751 ± 0.019,0.48508 ± 0.037,0.40409 ± 0.011,0.39901 ± 0.009,0.59749 ± 0.085,0.57487 ± 0.057,0.61204 ± 0.072,0.45612 ± 0.045,0.39842 ± 0.008,0.65649 ± 0.069,0.39842 ± 0.008,0.53134 ± 0.068
Q1_Q3_1.0,0.41082 ± 0.008,0.81016 ± 0.027,0.42315 ± 0.010,0.42902 ± 0.018,0.41511 ± 0.024,0.40591 ± 0.014,0.58153 ± 0.094,0.71115 ± 0.062,0.62982 ± 0.096,0.42501 ± 0.022,0.39842 ± 0.008,0.62718 ± 0.063,0.42313 ± 0.042,0.44855 ± 0.035
Q1_Q4_1.0,0.40574 ± 0.025,0.52000 ± 0.049,0.63947 ± 0.049,0.68371 ± 0.051,0.63713 ± 0.026,0.65388 ± 0.036,0.66909 ± 0.046,0.70419 ± 0.023,0.64376 ± 0.049,0.53841 ± 0.085,0.40916 ± 0.015,0.55788 ± 0.103,0.39603 ± 0.007,0.55672 ± 0.087
Q2_Q3_1.0,0.71853 ± 0.051,0.80819 ± 0.013,0.83602 ± 0.040,0.82211 ± 0.044,0.84041 ± 0.034,0.83816 ± 0.030,0.82837 ± 0.023,0.82915 ± 0.031,0.84486 ± 0.023,0.74459 ± 0.108,0.76051 ± 0.023,0.70261 ± 0.065,0.39842 ± 0.008,0.82823 ± 0.039
Q2_Q4_1.0,0.81548 ± 0.013,0.62676 ± 0.052,0.73949 ± 0.009,0.76982 ± 0.025,0.78194 ± 0.019,0.79081 ± 0.024,0.79194 ± 0.024,0.73928 ± 0.025,0.79057 ± 0.027,0.66921 ± 0.038,0.70068 ± 0.026,0.68405 ± 0.026,0.39842 ± 0.008,0.76001 ± 0.034
Q3_Q4_1.0,0.76353 ± 0.022,0.27999 ± 0.020,0.55362 ± 0.060,0.68195 ± 0.052,0.65425 ± 0.052,0.69096 ± 0.017,0.68316 ± 0.033,0.71622 ± 0.030,0.70335 ± 0.020,0.50158 ± 0.136,0.57825 ± 0.085,0.58959 ± 0.065,0.39842 ± 0.008,0.71131 ± 0.049
Q1_1.0,0.43913 ± 0.034,0.83074 ± 0.033,0.43685 ± 0.024,0.60396 ± 0.075,0.48547 ± 0.104,0.44735 ± 0.052,0.47040 ± 0.054,0.67316 ± 0.091,0.53857 ± 0.099,0.46667 ± 0.054,0.42164 ± 0.018,0.75354 ± 0.035,0.40096 ± 0.013,0.48297 ± 0.086
Q2_1.0,0.80100 ± 0.048,0.83035 ± 0.024,0.84944 ± 0.026,0.84537 ± 0.023,0.85156 ± 0.034,0.85011 ± 0.024,0.83781 ± 0.042,0.84662 ± 0.028,0.84283 ± 0.034,0.77044 ± 0.078,0.81176 ± 0.034,0.80191 ± 0.041,0.39842 ± 0.008,0.85108 ± 0.035
Q3_1.0,0.83440 ± 0.043,0.82252 ± 0.024,0.83293 ± 0.038,0.83710 ± 0.033,0.84375 ± 0.037,0.84234 ± 0.026,0.85555 ± 0.025,0.83229 ± 0.031,0.85385 ± 0.024,0.79813 ± 0.053,0.78297 ± 0.041,0.78705 ± 0.053,0.39842 ± 0.008,0.83096 ± 0.032
Q4_1.0,0.80871 ± 0.015,0.62503 ± 0.043,0.73196 ± 0.014,0.77547 ± 0.019,0.81005 ± 0.023,0.79547 ± 0.022,0.78896 ± 0.017,0.73462 ± 0.021,0.79203 ± 0.037,0.61636 ± 0.039,0.70222 ± 0.033,0.69401 ± 0.060,0.39842 ± 0.008,0.76226 ± 0.032
