,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,0.71801 ± 0.066,0.76088 ± 0.054,0.70471 ± 0.068,0.74793 ± 0.074,0.76679 ± 0.051,0.73430 ± 0.043,0.75297 ± 0.068,0.71530 ± 0.061,0.75666 ± 0.067,0.71437 ± 0.076,0.73915 ± 0.065,0.72651 ± 0.048,0.34616 ± 0.033,0.71850 ± 0.060
Q1_Q3_0.5,0.77847 ± 0.070,0.76220 ± 0.036,0.80680 ± 0.024,0.79300 ± 0.046,0.80206 ± 0.042,0.83552 ± 0.037,0.81648 ± 0.042,0.79209 ± 0.031,0.80194 ± 0.052,0.71941 ± 0.051,0.74449 ± 0.079,0.79535 ± 0.059,0.34616 ± 0.033,0.78015 ± 0.035
Q1_Q4_0.5,0.74300 ± 0.011,0.77145 ± 0.057,0.75531 ± 0.059,0.79476 ± 0.029,0.80215 ± 0.043,0.77732 ± 0.028,0.77678 ± 0.036,0.76890 ± 0.066,0.80055 ± 0.037,0.75085 ± 0.075,0.78515 ± 0.037,0.75309 ± 0.025,0.34616 ± 0.033,0.75356 ± 0.083
Q2_Q3_0.5,0.76044 ± 0.054,0.72204 ± 0.073,0.76741 ± 0.067,0.77661 ± 0.068,0.78929 ± 0.052,0.82557 ± 0.057,0.82091 ± 0.049,0.79039 ± 0.056,0.79616 ± 0.062,0.76061 ± 0.049,0.80115 ± 0.064,0.77254 ± 0.076,0.35673 ± 0.041,0.79227 ± 0.051
Q2_Q4_0.5,0.68969 ± 0.097,0.69761 ± 0.082,0.75369 ± 0.037,0.79516 ± 0.037,0.76941 ± 0.052,0.78846 ± 0.022,0.77745 ± 0.033,0.76539 ± 0.025,0.75756 ± 0.061,0.70817 ± 0.070,0.79274 ± 0.044,0.75686 ± 0.026,0.38503 ± 0.063,0.75816 ± 0.051
Q3_Q4_0.5,0.75350 ± 0.039,0.71060 ± 0.062,0.78481 ± 0.066,0.79477 ± 0.058,0.81955 ± 0.040,0.79775 ± 0.051,0.81696 ± 0.052,0.80987 ± 0.042,0.81665 ± 0.023,0.70126 ± 0.103,0.77341 ± 0.028,0.74051 ± 0.055,0.35673 ± 0.041,0.76335 ± 0.074
Q1_0.5,0.70038 ± 0.065,0.83571 ± 0.049,0.76316 ± 0.042,0.79297 ± 0.054,0.79110 ± 0.056,0.81112 ± 0.047,0.77646 ± 0.055,0.75740 ± 0.060,0.79623 ± 0.054,0.74215 ± 0.053,0.79413 ± 0.054,0.76463 ± 0.055,0.34616 ± 0.033,0.74826 ± 0.037
Q2_0.5,0.77140 ± 0.062,0.78112 ± 0.057,0.75481 ± 0.055,0.76017 ± 0.078,0.81184 ± 0.053,0.77803 ± 0.051,0.81691 ± 0.065,0.76029 ± 0.069,0.81618 ± 0.058,0.76064 ± 0.069,0.80701 ± 0.051,0.77728 ± 0.059,0.34616 ± 0.033,0.76556 ± 0.065
Q3_0.5,0.75908 ± 0.065,0.73373 ± 0.062,0.80128 ± 0.071,0.80957 ± 0.037,0.81205 ± 0.051,0.79025 ± 0.048,0.79967 ± 0.040,0.80637 ± 0.037,0.81143 ± 0.026,0.79559 ± 0.075,0.78532 ± 0.049,0.78579 ± 0.054,0.34616 ± 0.033,0.81273 ± 0.050
Q4_0.5,0.77509 ± 0.060,0.76006 ± 0.050,0.82187 ± 0.048,0.80569 ± 0.029,0.80703 ± 0.072,0.80790 ± 0.047,0.80063 ± 0.051,0.82231 ± 0.057,0.80099 ± 0.050,0.77182 ± 0.087,0.77372 ± 0.043,0.74557 ± 0.041,0.34616 ± 0.033,0.78183 ± 0.066
Q1_Q2_0.75,0.66248 ± 0.065,0.72245 ± 0.082,0.67739 ± 0.043,0.74854 ± 0.055,0.72958 ± 0.084,0.76748 ± 0.061,0.72783 ± 0.077,0.72941 ± 0.043,0.71606 ± 0.066,0.62220 ± 0.058,0.75232 ± 0.064,0.75845 ± 0.043,0.36686 ± 0.040,0.71187 ± 0.056
Q1_Q3_0.75,0.68493 ± 0.076,0.74447 ± 0.043,0.74768 ± 0.048,0.76936 ± 0.057,0.77795 ± 0.052,0.78954 ± 0.056,0.79481 ± 0.044,0.73868 ± 0.040,0.76731 ± 0.076,0.67824 ± 0.040,0.74890 ± 0.061,0.77725 ± 0.045,0.34616 ± 0.033,0.71772 ± 0.049
Q1_Q4_0.75,0.62851 ± 0.075,0.70672 ± 0.105,0.73056 ± 0.073,0.70449 ± 0.041,0.78172 ± 0.050,0.73697 ± 0.057,0.75178 ± 0.071,0.73373 ± 0.066,0.76150 ± 0.063,0.70562 ± 0.042,0.71788 ± 0.047,0.74281 ± 0.035,0.34616 ± 0.033,0.71663 ± 0.076
Q2_Q3_0.75,0.70516 ± 0.072,0.59994 ± 0.053,0.79136 ± 0.052,0.77619 ± 0.026,0.76278 ± 0.043,0.79461 ± 0.028,0.82242 ± 0.074,0.78612 ± 0.021,0.81708 ± 0.038,0.69879 ± 0.093,0.77043 ± 0.073,0.77983 ± 0.043,0.35204 ± 0.041,0.81251 ± 0.053
Q2_Q4_0.75,0.64167 ± 0.055,0.61811 ± 0.093,0.76860 ± 0.047,0.79931 ± 0.037,0.75853 ± 0.055,0.77800 ± 0.017,0.76489 ± 0.037,0.79293 ± 0.034,0.78599 ± 0.022,0.71371 ± 0.087,0.74255 ± 0.055,0.75394 ± 0.058,0.34616 ± 0.033,0.77144 ± 0.047
Q3_Q4_0.75,0.67218 ± 0.053,0.68081 ± 0.081,0.77723 ± 0.060,0.79066 ± 0.044,0.80000 ± 0.030,0.77725 ± 0.055,0.78082 ± 0.056,0.77691 ± 0.068,0.77213 ± 0.033,0.63574 ± 0.083,0.74423 ± 0.055,0.73502 ± 0.079,0.35673 ± 0.041,0.75722 ± 0.048
Q1_0.75,0.66939 ± 0.050,0.82542 ± 0.062,0.77951 ± 0.061,0.78344 ± 0.031,0.79256 ± 0.068,0.74469 ± 0.031,0.78177 ± 0.053,0.77570 ± 0.057,0.78035 ± 0.062,0.68468 ± 0.091,0.79915 ± 0.047,0.75095 ± 0.036,0.34616 ± 0.033,0.76805 ± 0.026
Q2_0.75,0.76257 ± 0.070,0.74283 ± 0.043,0.78730 ± 0.050,0.76370 ± 0.075,0.78204 ± 0.064,0.78032 ± 0.058,0.79085 ± 0.085,0.77636 ± 0.070,0.77736 ± 0.058,0.77558 ± 0.102,0.77376 ± 0.033,0.77510 ± 0.076,0.35323 ± 0.029,0.76765 ± 0.061
Q3_0.75,0.77992 ± 0.060,0.68191 ± 0.046,0.80668 ± 0.053,0.79235 ± 0.021,0.77805 ± 0.031,0.81558 ± 0.056,0.79752 ± 0.048,0.80250 ± 0.030,0.80564 ± 0.064,0.78482 ± 0.090,0.74032 ± 0.023,0.80016 ± 0.036,0.34616 ± 0.033,0.80732 ± 0.070
Q4_0.75,0.79257 ± 0.054,0.67745 ± 0.072,0.78252 ± 0.056,0.78232 ± 0.045,0.77568 ± 0.041,0.78065 ± 0.058,0.80334 ± 0.040,0.79197 ± 0.057,0.78001 ± 0.059,0.70638 ± 0.085,0.74623 ± 0.068,0.76566 ± 0.054,0.34384 ± 0.035,0.78247 ± 0.044
Q1_Q2_1.0,0.49068 ± 0.062,0.65539 ± 0.064,0.51843 ± 0.036,0.55672 ± 0.060,0.61151 ± 0.047,0.56472 ± 0.118,0.66574 ± 0.058,0.56262 ± 0.062,0.60640 ± 0.061,0.52030 ± 0.095,0.63594 ± 0.059,0.63349 ± 0.067,0.38925 ± 0.077,0.57288 ± 0.054
Q1_Q3_1.0,0.58233 ± 0.061,0.71835 ± 0.077,0.68803 ± 0.078,0.72068 ± 0.079,0.72367 ± 0.058,0.69127 ± 0.051,0.74135 ± 0.051,0.69992 ± 0.050,0.75619 ± 0.040,0.65613 ± 0.111,0.73690 ± 0.101,0.75069 ± 0.050,0.34616 ± 0.033,0.65323 ± 0.068
Q1_Q4_1.0,0.60241 ± 0.069,0.59913 ± 0.053,0.62015 ± 0.094,0.71299 ± 0.036,0.66286 ± 0.079,0.48810 ± 0.161,0.60388 ± 0.071,0.63606 ± 0.077,0.65607 ± 0.089,0.68092 ± 0.073,0.70128 ± 0.086,0.67124 ± 0.084,0.42312 ± 0.079,0.63118 ± 0.087
Q2_Q3_1.0,0.70643 ± 0.066,0.52291 ± 0.096,0.77207 ± 0.040,0.76202 ± 0.058,0.76677 ± 0.023,0.75150 ± 0.028,0.74331 ± 0.072,0.77746 ± 0.043,0.79757 ± 0.045,0.65383 ± 0.105,0.74129 ± 0.055,0.73708 ± 0.047,0.35368 ± 0.047,0.76845 ± 0.053
Q2_Q4_1.0,0.57708 ± 0.055,0.56184 ± 0.066,0.72165 ± 0.059,0.72182 ± 0.057,0.74477 ± 0.078,0.68174 ± 0.060,0.75552 ± 0.089,0.70732 ± 0.057,0.74031 ± 0.077,0.62453 ± 0.082,0.72210 ± 0.089,0.69584 ± 0.080,0.44081 ± 0.093,0.74298 ± 0.068
Q3_Q4_1.0,0.56043 ± 0.147,0.27470 ± 0.019,0.74224 ± 0.051,0.69019 ± 0.084,0.71338 ± 0.066,0.70018 ± 0.085,0.75040 ± 0.028,0.71010 ± 0.066,0.77090 ± 0.040,0.38754 ± 0.116,0.75059 ± 0.078,0.72081 ± 0.043,0.39196 ± 0.078,0.65923 ± 0.098
Q1_1.0,0.62528 ± 0.069,0.82120 ± 0.056,0.68700 ± 0.072,0.75550 ± 0.057,0.70896 ± 0.063,0.61870 ± 0.117,0.75638 ± 0.054,0.72365 ± 0.064,0.72129 ± 0.047,0.67713 ± 0.054,0.77045 ± 0.054,0.74505 ± 0.037,0.34616 ± 0.033,0.66085 ± 0.096
Q2_1.0,0.75390 ± 0.074,0.69608 ± 0.045,0.77276 ± 0.057,0.76094 ± 0.047,0.76682 ± 0.059,0.78190 ± 0.044,0.79376 ± 0.076,0.76650 ± 0.049,0.76076 ± 0.055,0.78829 ± 0.073,0.76171 ± 0.063,0.79368 ± 0.039,0.37858 ± 0.060,0.76782 ± 0.059
Q3_1.0,0.73570 ± 0.033,0.67856 ± 0.057,0.80168 ± 0.052,0.76867 ± 0.011,0.80931 ± 0.030,0.80610 ± 0.052,0.78209 ± 0.040,0.80652 ± 0.057,0.80586 ± 0.036,0.73215 ± 0.046,0.77409 ± 0.076,0.76743 ± 0.048,0.35673 ± 0.041,0.79068 ± 0.048
Q4_1.0,0.70011 ± 0.042,0.58423 ± 0.079,0.73416 ± 0.035,0.74199 ± 0.047,0.73345 ± 0.054,0.69997 ± 0.053,0.75613 ± 0.042,0.73561 ± 0.060,0.74575 ± 0.043,0.70075 ± 0.076,0.71891 ± 0.069,0.73844 ± 0.064,0.34616 ± 0.033,0.69465 ± 0.100
