,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q4_0.5,0.94188 ± 0.001,0.90817 ± 0.003,0.94930 ± 0.002,0.99025 ± 0.005,0.86658 ± 0.002,0.87562 ± 0.003,0.88121 ± 0.014,0.96110 ± 0.003,0.81068 ± 0.006,0.95908 ± 0.010,1.05821 ± 0.035,1.03015 ± 0.036,1.14364 ± 0.003,0.99483 ± 0.003
Q2_Q3_0.5,0.81265 ± 0.003,0.76140 ± 0.003,0.73418 ± 0.003,0.79368 ± 0.007,0.74936 ± 0.005,0.75055 ± 0.005,0.76400 ± 0.004,0.78348 ± 0.007,0.72377 ± 0.003,0.74919 ± 0.012,0.88884 ± 0.034,0.87844 ± 0.023,1.13916 ± 0.003,0.79500 ± 0.002
Q2_Q4_0.5,0.88421 ± 0.003,0.89308 ± 0.002,0.90331 ± 0.004,0.94659 ± 0.006,0.82374 ± 0.003,0.83174 ± 0.002,0.83318 ± 0.008,0.92276 ± 0.006,0.77243 ± 0.005,0.91749 ± 0.021,0.98885 ± 0.016,1.00170 ± 0.023,1.13529 ± 0.003,0.94916 ± 0.004
Q3_Q4_0.5,0.83415 ± 0.003,0.87622 ± 0.003,0.89627 ± 0.004,0.93843 ± 0.004,0.82593 ± 0.004,0.83564 ± 0.003,0.85303 ± 0.014,0.92676 ± 0.006,0.78773 ± 0.009,0.93076 ± 0.028,1.01471 ± 0.043,0.99310 ± 0.021,1.12801 ± 0.003,0.93840 ± 0.004
Q1_0.5,0.75245 ± 0.002,0.69117 ± 0.002,0.77888 ± 0.002,0.76645 ± 0.003,0.73567 ± 0.002,0.73978 ± 0.001,0.72143 ± 0.001,0.78512 ± 0.002,0.69834 ± 0.002,0.75612 ± 0.031,0.90963 ± 0.022,0.87260 ± 0.023,1.13428 ± 0.003,0.81193 ± 0.004
Q2_0.5,0.76579 ± 0.003,0.71372 ± 0.002,0.72377 ± 0.003,0.75194 ± 0.003,0.70992 ± 0.003,0.70938 ± 0.003,0.70440 ± 0.001,0.73168 ± 0.003,0.68191 ± 0.002,0.70905 ± 0.012,0.83088 ± 0.039,0.81028 ± 0.031,1.14061 ± 0.004,0.76737 ± 0.003
Q3_0.5,0.75044 ± 0.003,0.73980 ± 0.002,0.70054 ± 0.003,0.73221 ± 0.003,0.70932 ± 0.002,0.70992 ± 0.002,0.74619 ± 0.004,0.73168 ± 0.004,0.69861 ± 0.002,0.72577 ± 0.046,0.83247 ± 0.034,0.84203 ± 0.030,1.14340 ± 0.002,0.74018 ± 0.002
Q4_0.5,0.74281 ± 0.002,0.84624 ± 0.002,0.87131 ± 0.002,0.84596 ± 0.002,0.78862 ± 0.003,0.80976 ± 0.004,0.78689 ± 0.004,0.88152 ± 0.003,0.74468 ± 0.006,0.85759 ± 0.022,0.97975 ± 0.045,0.96957 ± 0.017,1.12964 ± 0.003,0.89817 ± 0.004
Q1_Q2_0.75,0.83148 ± 0.002,0.74431 ± 0.002,0.88028 ± 0.002,0.97241 ± 0.012,0.84581 ± 0.005,0.84809 ± 0.005,0.79120 ± 0.015,0.91447 ± 0.004,0.78231 ± 0.006,0.97790 ± 0.060,0.98467 ± 0.043,1.00584 ± 0.029,1.09148 ± 0.004,0.94767 ± 0.005
Q1_Q3_0.75,0.85953 ± 0.002,0.78137 ± 0.003,0.82294 ± 0.002,0.94354 ± 0.015,0.83036 ± 0.002,0.83346 ± 0.002,0.81542 ± 0.003,0.88665 ± 0.004,0.79891 ± 0.004,0.89171 ± 0.088,0.95181 ± 0.023,0.94076 ± 0.033,1.10795 ± 0.003,0.89887 ± 0.004
Q1_Q4_0.75,1.01186 ± 0.002,0.97468 ± 0.002,1.03888 ± 0.001,1.07933 ± 0.004,1.00691 ± 0.002,1.01665 ± 0.007,1.01212 ± 0.007,1.06958 ± 0.003,0.96267 ± 0.032,1.06334 ± 0.019,1.12673 ± 0.017,1.11472 ± 0.008,1.13977 ± 0.002,1.08673 ± 0.002
Q2_Q3_0.75,0.82336 ± 0.002,0.77218 ± 0.002,0.74240 ± 0.003,0.85218 ± 0.015,0.77668 ± 0.008,0.78761 ± 0.006,0.82586 ± 0.004,0.83050 ± 0.006,0.79208 ± 0.003,0.76087 ± 0.009,0.89368 ± 0.034,0.88922 ± 0.016,1.13099 ± 0.003,0.82462 ± 0.005
Q2_Q4_0.75,0.92315 ± 0.002,0.94494 ± 0.004,0.97689 ± 0.003,1.05055 ± 0.003,0.93041 ± 0.003,0.94560 ± 0.007,0.94911 ± 0.015,1.01603 ± 0.004,0.86981 ± 0.006,1.00321 ± 0.029,1.06697 ± 0.028,1.08464 ± 0.026,1.11890 ± 0.003,1.03409 ± 0.003
Q3_Q4_0.75,0.86616 ± 0.002,0.91546 ± 0.002,0.99239 ± 0.002,1.03738 ± 0.005,0.93573 ± 0.004,0.95208 ± 0.005,0.92009 ± 0.002,1.02331 ± 0.004,0.89757 ± 0.002,1.02972 ± 0.022,1.05727 ± 0.020,1.05372 ± 0.031,1.10018 ± 0.003,1.02524 ± 0.003
Q1_0.75,0.75144 ± 0.002,0.68946 ± 0.002,0.80860 ± 0.001,0.83250 ± 0.004,0.77185 ± 0.002,0.78066 ± 0.002,0.74805 ± 0.001,0.84055 ± 0.004,0.72370 ± 0.001,0.82146 ± 0.046,0.96185 ± 0.014,0.87949 ± 0.039,1.12322 ± 0.004,0.85689 ± 0.002
Q2_0.75,0.78618 ± 0.002,0.71605 ± 0.002,0.73520 ± 0.003,0.79846 ± 0.005,0.72754 ± 0.004,0.72772 ± 0.005,0.73151 ± 0.004,0.76038 ± 0.004,0.69456 ± 0.002,0.72461 ± 0.044,0.86895 ± 0.026,0.84477 ± 0.045,1.13344 ± 0.003,0.79011 ± 0.003
Q3_0.75,0.76106 ± 0.003,0.74096 ± 0.002,0.70113 ± 0.002,0.76255 ± 0.002,0.73376 ± 0.002,0.73399 ± 0.003,0.77548 ± 0.005,0.75856 ± 0.005,0.72934 ± 0.003,0.71966 ± 0.013,0.85748 ± 0.046,0.89592 ± 0.030,1.14186 ± 0.003,0.75296 ± 0.003
Q4_0.75,0.75469 ± 0.002,0.85572 ± 0.002,0.93780 ± 0.003,0.95086 ± 0.003,0.86789 ± 0.002,0.90050 ± 0.009,0.85944 ± 0.006,0.97951 ± 0.004,0.83284 ± 0.007,0.98117 ± 0.048,1.05586 ± 0.011,1.05383 ± 0.027,1.10619 ± 0.003,0.95987 ± 0.004
Q1_Q2_1.0,0.78275 ± 0.001,0.75235 ± 0.002,0.93076 ± 0.003,1.04495 ± 0.014,0.93125 ± 0.012,0.94381 ± 0.009,0.89848 ± 0.007,0.95920 ± 0.003,0.93707 ± 0.020,0.96963 ± 0.053,0.98439 ± 0.027,1.01351 ± 0.034,1.04117 ± 0.003,1.02866 ± 0.004
Q1_Q3_1.0,0.84531 ± 0.001,0.78245 ± 0.003,0.84130 ± 0.002,0.99413 ± 0.014,0.87605 ± 0.002,0.87041 ± 0.002,0.85292 ± 0.007,0.91725 ± 0.003,0.86502 ± 0.011,0.91556 ± 0.058,0.95968 ± 0.021,0.94622 ± 0.022,1.07319 ± 0.003,0.94373 ± 0.005
Q1_Q4_1.0,1.00954 ± 0.001,0.99407 ± 0.002,1.10340 ± 0.002,1.13925 ± 0.003,1.13400 ± 0.005,1.11578 ± 0.011,1.12252 ± 0.010,1.11952 ± 0.003,1.11812 ± 0.004,1.14757 ± 0.018,1.14952 ± 0.010,1.15314 ± 0.017,1.12666 ± 0.004,1.12727 ± 0.002
Q2_Q3_1.0,0.81655 ± 0.003,0.76946 ± 0.002,0.74647 ± 0.003,0.91789 ± 0.006,0.78059 ± 0.013,0.83712 ± 0.010,0.88732 ± 0.017,0.86564 ± 0.006,0.86418 ± 0.013,0.83147 ± 0.072,0.90447 ± 0.018,0.90660 ± 0.020,1.11562 ± 0.004,0.84551 ± 0.004
Q2_Q4_1.0,0.92084 ± 0.001,0.95675 ± 0.002,1.01836 ± 0.003,1.10687 ± 0.003,1.04062 ± 0.007,1.08445 ± 0.019,1.03856 ± 0.010,1.05964 ± 0.005,1.03580 ± 0.008,1.03948 ± 0.026,1.12112 ± 0.019,1.11794 ± 0.022,1.08385 ± 0.002,1.08552 ± 0.004
Q3_Q4_1.0,0.86119 ± 0.002,0.92364 ± 0.003,1.07082 ± 0.003,1.11651 ± 0.006,1.09476 ± 0.009,1.06224 ± 0.046,1.07812 ± 0.017,1.08415 ± 0.007,1.10336 ± 0.008,1.07992 ± 0.022,1.12043 ± 0.024,1.13254 ± 0.015,1.03932 ± 0.004,1.08843 ± 0.006
Q1_1.0,0.72207 ± 0.001,0.68459 ± 0.002,0.82865 ± 0.002,0.88808 ± 0.003,0.83156 ± 0.002,0.82683 ± 0.002,0.78487 ± 0.001,0.87323 ± 0.003,0.77477 ± 0.002,0.93573 ± 0.048,0.91164 ± 0.015,0.99315 ± 0.038,1.10398 ± 0.004,0.89010 ± 0.002
Q2_1.0,0.79609 ± 0.002,0.71216 ± 0.002,0.74703 ± 0.003,0.82523 ± 0.006,0.74275 ± 0.004,0.74470 ± 0.004,0.77684 ± 0.005,0.78228 ± 0.004,0.73545 ± 0.004,0.76130 ± 0.066,0.85773 ± 0.063,0.86562 ± 0.015,1.12273 ± 0.003,0.81573 ± 0.005
Q3_1.0,0.76567 ± 0.003,0.74191 ± 0.003,0.70596 ± 0.003,0.79259 ± 0.005,0.74950 ± 0.003,0.75220 ± 0.003,0.83681 ± 0.018,0.78165 ± 0.003,0.77670 ± 0.011,0.72837 ± 0.012,0.83685 ± 0.021,0.85575 ± 0.034,1.13953 ± 0.002,0.76966 ± 0.003
Q4_1.0,0.74719 ± 0.002,0.83828 ± 0.002,0.98869 ± 0.003,1.03628 ± 0.003,0.97710 ± 0.004,1.03822 ± 0.067,0.99234 ± 0.005,1.01618 ± 0.004,0.97122 ± 0.005,1.01006 ± 0.011,1.08085 ± 0.026,1.08978 ± 0.022,1.06718 ± 0.003,0.99880 ± 0.002
