,random,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q2_Q4_0.5,0.47302 ± 0.001,0.37666 ± 0.001,0.16049 ± 0.001,0.19195 ± 0.002,0.13122 ± 0.008,0.12709 ± 0.004,0.12194 ± 0.003,0.14019 ± 0.001,0.10276 ± 0.001,0.14082 ± 0.012,0.13294 ± 0.005,0.13803 ± 0.005,0.14036 ± 0.001,0.18897 ± 0.001
Q3_Q4_0.5,0.46491 ± 0.001,0.42336 ± 0.001,0.18640 ± 0.000,0.24697 ± 0.002,0.12048 ± 0.003,0.12401 ± 0.002,0.12119 ± 0.001,0.14583 ± 0.001,0.09493 ± 0.001,0.17740 ± 0.067,0.14381 ± 0.008,0.16500 ± 0.005,0.12790 ± 0.001,0.21147 ± 0.000
Q1_0.5,0.51242 ± 0.002,0.12797 ± 0.000,0.20314 ± 0.001,0.28513 ± 0.006,0.12858 ± 0.001,0.13236 ± 0.001,0.12539 ± 0.001,0.15603 ± 0.002,0.09574 ± 0.001,0.18026 ± 0.049,0.15190 ± 0.006,0.14301 ± 0.009,0.13244 ± 0.001,0.22654 ± 0.001
Q2_0.5,0.47938 ± 0.002,0.23624 ± 0.001,0.09560 ± 0.000,0.15914 ± 0.004,0.07371 ± 0.001,0.06641 ± 0.001,0.07405 ± 0.002,0.08428 ± 0.001,0.06521 ± 0.003,0.08068 ± 0.028,0.07668 ± 0.005,0.07691 ± 0.002,0.09006 ± 0.001,0.13851 ± 0.001
Q3_0.5,0.46073 ± 0.002,0.35939 ± 0.001,0.08931 ± 0.001,0.15434 ± 0.004,0.06219 ± 0.001,0.05775 ± 0.001,0.07676 ± 0.003,0.07893 ± 0.002,0.06450 ± 0.001,0.09357 ± 0.050,0.05123 ± 0.005,0.05716 ± 0.005,0.08577 ± 0.000,0.13407 ± 0.000
Q4_0.5,0.46797 ± 0.002,0.47867 ± 0.001,0.22366 ± 0.001,0.29875 ± 0.003,0.21648 ± 0.076,0.23878 ± 0.093,0.14657 ± 0.001,0.17535 ± 0.001,0.11120 ± 0.001,0.18801 ± 0.043,0.16734 ± 0.004,0.17703 ± 0.006,0.15812 ± 0.002,0.24515 ± 0.001
Q1_Q2_0.75,0.49514 ± 0.001,0.18972 ± 0.000,0.20819 ± 0.001,0.25997 ± 0.002,0.13143 ± 0.005,0.13855 ± 0.003,0.11934 ± 0.006,0.18311 ± 0.001,0.11466 ± 0.004,0.22696 ± 0.015,0.19884 ± 0.005,0.19172 ± 0.009,0.11149 ± 0.001,0.23118 ± 0.000
Q1_Q3_0.75,0.48665 ± 0.002,0.26933 ± 0.001,0.15594 ± 0.000,0.21013 ± 0.001,0.12084 ± 0.001,0.12664 ± 0.002,0.12504 ± 0.005,0.14265 ± 0.000,0.11521 ± 0.003,0.18069 ± 0.016,0.13915 ± 0.003,0.13481 ± 0.004,0.13078 ± 0.001,0.18519 ± 0.001
Q1_Q4_0.75,0.49107 ± 0.001,0.34925 ± 0.000,0.19014 ± 0.000,0.20522 ± 0.001,0.22350 ± 0.047,0.19455 ± 0.027,0.16668 ± 0.002,0.18015 ± 0.000,0.15641 ± 0.006,0.19831 ± 0.016,0.17911 ± 0.001,0.17955 ± 0.002,0.18762 ± 0.001,0.21489 ± 0.000
Q2_Q3_0.75,0.46957 ± 0.001,0.30383 ± 0.000,0.08699 ± 0.000,0.14881 ± 0.001,0.09368 ± 0.004,0.09250 ± 0.011,0.11986 ± 0.026,0.10326 ± 0.002,0.12484 ± 0.004,0.10860 ± 0.013,0.08676 ± 0.003,0.08546 ± 0.005,0.11185 ± 0.000,0.13266 ± 0.000
Q2_Q4_0.75,0.47428 ± 0.002,0.37643 ± 0.000,0.16813 ± 0.000,0.18906 ± 0.005,0.14704 ± 0.006,0.15578 ± 0.012,0.13388 ± 0.005,0.15278 ± 0.001,0.11980 ± 0.002,0.16486 ± 0.020,0.14379 ± 0.005,0.14935 ± 0.003,0.14785 ± 0.001,0.19552 ± 0.000
Q3_Q4_0.75,0.46397 ± 0.001,0.42333 ± 0.000,0.21576 ± 0.000,0.25045 ± 0.001,0.15329 ± 0.003,0.16229 ± 0.006,0.13912 ± 0.003,0.18719 ± 0.003,0.11577 ± 0.002,0.23377 ± 0.037,0.20078 ± 0.004,0.21483 ± 0.009,0.12832 ± 0.001,0.23808 ± 0.000
Q1_0.75,0.51372 ± 0.001,0.12761 ± 0.000,0.21837 ± 0.000,0.30898 ± 0.001,0.14212 ± 0.003,0.14584 ± 0.002,0.13517 ± 0.001,0.17031 ± 0.001,0.10729 ± 0.000,0.17345 ± 0.053,0.17619 ± 0.017,0.15202 ± 0.006,0.13148 ± 0.001,0.24031 ± 0.001
Q2_0.75,0.47860 ± 0.002,0.23584 ± 0.001,0.10191 ± 0.000,0.17703 ± 0.003,0.08976 ± 0.013,0.08271 ± 0.023,0.08439 ± 0.008,0.08813 ± 0.001,0.07469 ± 0.003,0.09991 ± 0.025,0.07928 ± 0.004,0.07438 ± 0.008,0.09081 ± 0.000,0.14309 ± 0.001
Q3_0.75,0.46113 ± 0.002,0.35969 ± 0.001,0.09426 ± 0.000,0.15836 ± 0.001,0.06715 ± 0.001,0.06264 ± 0.001,0.08380 ± 0.006,0.08258 ± 0.000,0.07245 ± 0.003,0.08374 ± 0.013,0.05687 ± 0.005,0.06690 ± 0.010,0.08738 ± 0.000,0.13732 ± 0.001
Q4_0.75,0.46872 ± 0.002,0.47809 ± 0.001,0.23799 ± 0.001,0.32418 ± 0.003,0.16068 ± 0.001,0.20122 ± 0.062,0.16148 ± 0.001,0.19028 ± 0.001,0.13158 ± 0.001,0.22800 ± 0.035,0.19685 ± 0.005,0.20725 ± 0.007,0.15678 ± 0.001,0.25780 ± 0.001
Q1_Q2_1.0,0.49563 ± 0.000,0.18973 ± 0.000,0.25688 ± 0.001,0.27009 ± 0.004,0.26118 ± 0.002,0.26357 ± 0.040,0.22448 ± 0.019,0.26498 ± 0.001,0.23281 ± 0.007,0.25988 ± 0.019,0.25968 ± 0.007,0.25532 ± 0.008,0.11197 ± 0.001,0.27590 ± 0.001
Q1_Q3_1.0,0.48742 ± 0.001,0.26947 ± 0.000,0.16998 ± 0.000,0.21432 ± 0.001,0.14212 ± 0.002,0.14500 ± 0.005,0.14789 ± 0.012,0.16431 ± 0.000,0.14477 ± 0.004,0.17741 ± 0.039,0.16343 ± 0.007,0.15785 ± 0.003,0.13663 ± 0.001,0.19702 ± 0.001
Q1_Q4_1.0,0.49145 ± 0.002,0.34908 ± 0.000,0.19117 ± 0.000,0.19808 ± 0.001,0.17718 ± 0.000,0.18187 ± 0.002,0.18474 ± 0.005,0.18641 ± 0.001,0.18066 ± 0.001,0.24160 ± 0.005,0.18566 ± 0.002,0.18502 ± 0.003,0.19971 ± 0.001,0.21602 ± 0.000
Q2_Q3_1.0,0.46858 ± 0.001,0.30405 ± 0.000,0.08955 ± 0.000,0.16221 ± 0.001,0.10689 ± 0.011,0.12025 ± 0.010,0.18006 ± 0.001,0.11833 ± 0.002,0.14611 ± 0.007,0.15690 ± 0.025,0.11993 ± 0.044,0.10136 ± 0.009,0.11898 ± 0.001,0.13415 ± 0.001
Q2_Q4_1.0,0.47374 ± 0.001,0.37643 ± 0.001,0.18121 ± 0.001,0.19463 ± 0.001,0.16614 ± 0.004,3.98279 ± 5.316,0.16229 ± 0.006,0.17571 ± 0.001,0.16269 ± 0.002,0.17104 ± 0.011,0.17172 ± 0.005,0.17657 ± 0.008,0.15380 ± 0.001,0.20701 ± 0.001
Q3_Q4_1.0,0.46558 ± 0.001,0.42324 ± 0.001,0.26031 ± 0.000,0.25786 ± 0.001,0.28571 ± 0.004,4374.89450 ± 8747.793,0.25966 ± 0.005,0.26475 ± 0.001,0.26191 ± 0.001,0.28622 ± 0.014,0.25948 ± 0.005,0.26032 ± 0.003,0.12898 ± 0.001,0.27888 ± 0.000
Q1_1.0,0.51206 ± 0.001,0.12768 ± 0.000,0.23638 ± 0.000,0.31357 ± 0.001,0.16095 ± 0.001,0.16040 ± 0.001,0.15123 ± 0.001,0.19571 ± 0.002,0.13509 ± 0.001,0.21224 ± 0.035,0.22615 ± 0.004,0.21723 ± 0.009,0.13049 ± 0.001,0.25688 ± 0.001
Q2_1.0,0.47854 ± 0.001,0.23602 ± 0.000,0.10900 ± 0.000,0.18542 ± 0.001,0.09583 ± 0.007,0.08745 ± 0.017,0.09496 ± 0.009,0.09320 ± 0.002,0.09382 ± 0.005,0.09626 ± 0.028,0.08197 ± 0.006,0.08204 ± 0.005,0.09243 ± 0.000,0.14799 ± 0.001
Q3_1.0,0.45893 ± 0.001,0.36000 ± 0.001,0.10072 ± 0.000,0.16623 ± 0.001,0.07672 ± 0.007,0.06593 ± 0.001,0.09590 ± 0.006,0.08661 ± 0.001,0.09267 ± 0.005,0.10621 ± 0.018,0.06655 ± 0.006,0.08651 ± 0.009,0.08829 ± 0.000,0.14235 ± 0.000
Q4_1.0,0.47024 ± 0.001,0.47819 ± 0.001,0.25586 ± 0.001,0.33267 ± 0.001,0.18341 ± 0.001,inf ± nan,0.18431 ± 0.001,0.21692 ± 0.004,0.17470 ± 0.001,0.19935 ± 0.011,0.23913 ± 0.006,0.24982 ± 0.003,0.15615 ± 0.001,0.27451 ± 0.000
