,one,zero,mean,knn,mice,XGB,missforest,mf,hyper,gain,notmiwae,miwae,tabcsdi,ot
Q1_Q2_0.5,1.12777 ± 0.003,0.83766 ± 0.003,0.88801 ± 0.003,0.92637 ± 0.001,0.77620 ± 0.003,0.78055 ± 0.001,0.78616 ± 0.002,0.89208 ± 0.004,0.76541 ± 0.004,0.88079 ± 0.067,0.99181 ± 0.025,0.96619 ± 0.067,1.15188 ± 0.002,0.93345 ± 0.003
Q1_Q3_0.5,1.12868 ± 0.002,0.88013 ± 0.002,0.85912 ± 0.001,0.91102 ± 0.002,0.77606 ± 0.002,0.77566 ± 0.001,0.81033 ± 0.003,0.86506 ± 0.002,0.77467 ± 0.002,0.83492 ± 0.037,0.98501 ± 0.051,0.91108 ± 0.025,1.15159 ± 0.002,0.90594 ± 0.003
Q1_Q4_0.5,1.11650 ± 0.002,1.09392 ± 0.001,0.98296 ± 0.001,1.01471 ± 0.005,0.86658 ± 0.002,0.87562 ± 0.003,0.89826 ± 0.010,0.96612 ± 0.003,0.83069 ± 0.006,0.98261 ± 0.008,1.07261 ± 0.035,1.05070 ± 0.046,1.15241 ± 0.002,1.02352 ± 0.002
Q2_Q3_0.5,1.11084 ± 0.002,0.92650 ± 0.002,0.77745 ± 0.003,0.82955 ± 0.005,0.74936 ± 0.005,0.75055 ± 0.005,0.79963 ± 0.004,0.81598 ± 0.006,0.76559 ± 0.003,0.78511 ± 0.010,0.92214 ± 0.031,0.90881 ± 0.032,1.15167 ± 0.002,0.83721 ± 0.003
Q2_Q4_0.5,1.05552 ± 0.001,1.09840 ± 0.004,0.94425 ± 0.004,0.96721 ± 0.005,0.82374 ± 0.003,0.83174 ± 0.002,0.86200 ± 0.005,0.93895 ± 0.005,0.80786 ± 0.006,0.94297 ± 0.028,1.03628 ± 0.016,1.04529 ± 0.022,1.15227 ± 0.002,0.98348 ± 0.004
Q3_Q4_0.5,0.99830 ± 0.002,1.12133 ± 0.003,0.94510 ± 0.004,0.96965 ± 0.004,0.82593 ± 0.004,0.83564 ± 0.003,0.87743 ± 0.012,0.94747 ± 0.006,0.81523 ± 0.008,0.96843 ± 0.049,1.03816 ± 0.046,1.00770 ± 0.035,1.15223 ± 0.002,0.98594 ± 0.002
Q1_0.5,1.12839 ± 0.002,0.76546 ± 0.002,0.86498 ± 0.002,0.84800 ± 0.003,0.73567 ± 0.002,0.73978 ± 0.001,0.76702 ± 0.002,0.82840 ± 0.003,0.74292 ± 0.003,0.82206 ± 0.059,0.93908 ± 0.025,0.91592 ± 0.022,1.15166 ± 0.002,0.89092 ± 0.003
Q2_0.5,1.09698 ± 0.002,0.85804 ± 0.002,0.77916 ± 0.003,0.80751 ± 0.003,0.70992 ± 0.003,0.70938 ± 0.003,0.75749 ± 0.003,0.78031 ± 0.004,0.73735 ± 0.002,0.76455 ± 0.018,0.86688 ± 0.056,0.83763 ± 0.033,1.15182 ± 0.002,0.81574 ± 0.003
Q3_0.5,1.06360 ± 0.003,0.90494 ± 0.002,0.75297 ± 0.002,0.78959 ± 0.002,0.70932 ± 0.002,0.70992 ± 0.002,0.78230 ± 0.004,0.77251 ± 0.004,0.74555 ± 0.002,0.77560 ± 0.051,0.86248 ± 0.030,0.88254 ± 0.037,1.15166 ± 0.002,0.79296 ± 0.002
Q4_0.5,0.91263 ± 0.001,1.10870 ± 0.003,0.94144 ± 0.003,0.90835 ± 0.003,0.78862 ± 0.003,0.80976 ± 0.004,0.82370 ± 0.004,0.89882 ± 0.003,0.78340 ± 0.006,0.89220 ± 0.038,1.02397 ± 0.049,1.01353 ± 0.014,1.15231 ± 0.002,0.96457 ± 0.004
Q1_Q2_0.75,1.08596 ± 0.004,0.83673 ± 0.002,0.95128 ± 0.002,1.00680 ± 0.008,0.84581 ± 0.005,0.84809 ± 0.005,0.83378 ± 0.017,0.98410 ± 0.003,0.82201 ± 0.006,1.02880 ± 0.047,0.99485 ± 0.041,1.03124 ± 0.036,1.14874 ± 0.005,1.00513 ± 0.004
Q1_Q3_0.75,1.10635 ± 0.002,0.89261 ± 0.001,0.90549 ± 0.002,0.97821 ± 0.013,0.83036 ± 0.002,0.83346 ± 0.002,0.84894 ± 0.002,0.93915 ± 0.004,0.82287 ± 0.003,0.95822 ± 0.083,0.97609 ± 0.029,0.96685 ± 0.038,1.15108 ± 0.002,0.96416 ± 0.003
Q1_Q4_0.75,1.11814 ± 0.001,1.13841 ± 0.002,1.06182 ± 0.002,1.08588 ± 0.002,1.00691 ± 0.002,1.01665 ± 0.007,1.01045 ± 0.004,1.06357 ± 0.002,0.96238 ± 0.029,1.08830 ± 0.016,1.10902 ± 0.017,1.09885 ± 0.011,1.15255 ± 0.002,1.10079 ± 0.002
Q2_Q3_0.75,1.11113 ± 0.002,0.94022 ± 0.002,0.78617 ± 0.002,0.87493 ± 0.015,0.77668 ± 0.008,0.78761 ± 0.006,0.85572 ± 0.007,0.86398 ± 0.006,0.82087 ± 0.004,0.80473 ± 0.011,0.92537 ± 0.036,0.91821 ± 0.016,1.15135 ± 0.002,0.86690 ± 0.003
Q2_Q4_0.75,1.04088 ± 0.002,1.13091 ± 0.002,1.02274 ± 0.002,1.05872 ± 0.003,0.93041 ± 0.003,0.94560 ± 0.007,0.96496 ± 0.010,1.03572 ± 0.004,0.89509 ± 0.005,1.03410 ± 0.034,1.09146 ± 0.008,1.10261 ± 0.017,1.15212 ± 0.002,1.06645 ± 0.004
Q3_Q4_0.75,0.97422 ± 0.003,1.14308 ± 0.002,1.03119 ± 0.002,1.05140 ± 0.003,0.93573 ± 0.004,0.95208 ± 0.005,0.94696 ± 0.002,1.04867 ± 0.003,0.91189 ± 0.002,1.07594 ± 0.033,1.05478 ± 0.028,1.04422 ± 0.032,1.15238 ± 0.002,1.07649 ± 0.003
Q1_0.75,1.10821 ± 0.003,0.76621 ± 0.003,0.90625 ± 0.001,0.90162 ± 0.002,0.77185 ± 0.002,0.78066 ± 0.002,0.79252 ± 0.002,0.89080 ± 0.004,0.76033 ± 0.003,0.86658 ± 0.045,1.00198 ± 0.011,0.91951 ± 0.034,1.15159 ± 0.002,0.94167 ± 0.002
Q2_0.75,1.09625 ± 0.002,0.87661 ± 0.002,0.79160 ± 0.002,0.84662 ± 0.005,0.72754 ± 0.004,0.72772 ± 0.005,0.78668 ± 0.003,0.81090 ± 0.004,0.75106 ± 0.001,0.77992 ± 0.043,0.89850 ± 0.033,0.87610 ± 0.049,1.15175 ± 0.002,0.83874 ± 0.002
Q3_0.75,1.07872 ± 0.002,0.92268 ± 0.002,0.75273 ± 0.002,0.81277 ± 0.001,0.73376 ± 0.002,0.73399 ± 0.003,0.80908 ± 0.006,0.79755 ± 0.004,0.77163 ± 0.003,0.76363 ± 0.009,0.88844 ± 0.054,0.92205 ± 0.028,1.15171 ± 0.002,0.80517 ± 0.001
Q4_0.75,0.88320 ± 0.002,1.13818 ± 0.002,1.02263 ± 0.003,1.00644 ± 0.003,0.86789 ± 0.002,0.90050 ± 0.009,0.89325 ± 0.004,0.99989 ± 0.005,0.86135 ± 0.007,1.05715 ± 0.062,1.08070 ± 0.023,1.08019 ± 0.031,1.15255 ± 0.002,1.04984 ± 0.004
Q1_Q2_1.0,1.01022 ± 0.003,0.82548 ± 0.002,1.00302 ± 0.003,1.06027 ± 0.010,0.93125 ± 0.012,0.94381 ± 0.009,0.93880 ± 0.008,1.02517 ± 0.004,0.96201 ± 0.021,1.02685 ± 0.052,0.99137 ± 0.031,1.01831 ± 0.028,1.15070 ± 0.002,1.07582 ± 0.003
Q1_Q3_1.0,1.05104 ± 0.002,0.88239 ± 0.002,0.94931 ± 0.002,1.02971 ± 0.016,0.87605 ± 0.002,0.87041 ± 0.002,0.88350 ± 0.005,0.99607 ± 0.002,0.89017 ± 0.006,1.00468 ± 0.060,1.00170 ± 0.021,0.98910 ± 0.026,1.15050 ± 0.002,1.01585 ± 0.002
Q1_Q4_1.0,1.10254 ± 0.001,1.13305 ± 0.001,1.09219 ± 0.002,1.12084 ± 0.002,1.13400 ± 0.005,1.11578 ± 0.011,1.11650 ± 0.007,1.11737 ± 0.003,1.10391 ± 0.004,1.12578 ± 0.013,1.12724 ± 0.007,1.13553 ± 0.007,1.15259 ± 0.002,1.12438 ± 0.002
Q2_Q3_1.0,1.09871 ± 0.001,0.94030 ± 0.001,0.79208 ± 0.003,0.92756 ± 0.008,0.78059 ± 0.013,0.83712 ± 0.010,0.93371 ± 0.026,0.90131 ± 0.007,0.89550 ± 0.009,0.87987 ± 0.074,0.93107 ± 0.014,0.93808 ± 0.013,1.15127 ± 0.002,0.88869 ± 0.003
Q2_Q4_1.0,1.01034 ± 0.002,1.09771 ± 0.001,1.09881 ± 0.003,1.11848 ± 0.003,1.04062 ± 0.007,1.08445 ± 0.019,1.05981 ± 0.010,1.10149 ± 0.005,1.04277 ± 0.007,1.08619 ± 0.023,1.12107 ± 0.015,1.11443 ± 0.023,1.15187 ± 0.002,1.13184 ± 0.002
Q3_Q4_1.0,0.91435 ± 0.002,1.03264 ± 0.003,1.12439 ± 0.002,1.12304 ± 0.002,1.09476 ± 0.009,1.06224 ± 0.046,1.10444 ± 0.012,1.12795 ± 0.006,1.12414 ± 0.007,1.10682 ± 0.031,1.11777 ± 0.019,1.12192 ± 0.011,1.15244 ± 0.002,1.14370 ± 0.003
Q1_1.0,1.06661 ± 0.002,0.75849 ± 0.002,0.94423 ± 0.002,0.94720 ± 0.003,0.83156 ± 0.002,0.82683 ± 0.002,0.83670 ± 0.002,0.96364 ± 0.002,0.80713 ± 0.001,1.01184 ± 0.057,0.95495 ± 0.021,1.02295 ± 0.035,1.15148 ± 0.002,0.98655 ± 0.003
Q2_1.0,1.08252 ± 0.002,0.88595 ± 0.002,0.80440 ± 0.003,0.87519 ± 0.005,0.74275 ± 0.004,0.74470 ± 0.004,0.83592 ± 0.005,0.83834 ± 0.004,0.78896 ± 0.004,0.83173 ± 0.074,0.90896 ± 0.051,0.92397 ± 0.017,1.15163 ± 0.002,0.86072 ± 0.003
Q3_1.0,1.08427 ± 0.002,0.93843 ± 0.002,0.75596 ± 0.002,0.83463 ± 0.005,0.74950 ± 0.003,0.75220 ± 0.003,0.86127 ± 0.017,0.81855 ± 0.003,0.81032 ± 0.008,0.77775 ± 0.007,0.86703 ± 0.029,0.88379 ± 0.035,1.15155 ± 0.002,0.81945 ± 0.002
Q4_1.0,0.84810 ± 0.002,1.07396 ± 0.001,1.09578 ± 0.003,1.09487 ± 0.003,0.97710 ± 0.004,1.03822 ± 0.067,1.02833 ± 0.004,1.09075 ± 0.006,0.99680 ± 0.004,1.06478 ± 0.029,1.11980 ± 0.020,1.11462 ± 0.023,1.15244 ± 0.002,1.12334 ± 0.002
